GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=2.66504
Clock = 9397282.000000, Chrono = 6670775, TimeR = 7.000000
Clock = 37522847.000000, Chrono = 66686239, TimeR = 67.000000

transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
9961, 9951, 259476, 319782, 1158721, 1505987
26493, 24433, 2245, 4492, 694161, 1028946
10387, 20632, 2382, 4644, 691419, 999639
15110, 26993, 2336, 4578, 631279, 945144
14478, 26425, 2674, 5353, 695959, 1011737
13767, 19315, 2224, 4451, 815142, 1049037
11100, 10723, 2302, 4544, 614387, 934341
13344, 22045, 2447, 4899, 627862, 952360
10993, 10745, 2240, 4482, 557756, 612854
11824, 11458, 2316, 2240, 619365, 308167
11151, 10943, 4017, 3841, 650584, 303841
11843, 11527, 4254, 4190, 614715, 296340
13479, 12158, 3062, 3045, 711663, 333841
23211, 19922, 3989, 3968, 704690, 320501
11329, 17292, 8793, 8623, 606319, 298789
11226, 16963, 3825, 3714, 613276, 300173
11028, 18691, 4895, 4819, 684660, 316453
12285, 20750, 3065, 3048, 705917, 322579
11666, 19314, 4632, 4561, 719012, 325803
11161, 18465, 4425, 4354, 674904, 303583
11942, 19865, 2880, 2866, 696428, 305661
11286, 14829, 2905, 2872, 747760, 335188
10450, 19133, 3850, 3727, 718551, 310497
12131, 12122, 2886, 2873, 673886, 314311
11450, 20239, 4757, 4685, 608093, 303513
11087, 18335, 4897, 4761, 643715, 302293
12483, 20187, 2960, 2945, 667214, 298021
11004, 18182, 2853, 2840, 695421, 303298
11419, 18834, 2896, 2877, 614175, 293997
11306, 18761, 2885, 2870, 611701, 291877
10976, 18100, 2961, 2947, 660580, 322958
11207, 18559, 9356, 8996, 787178, 327556
11862, 19565, 3068, 3052, 604785, 298881
12293, 20341, 3827, 3728, 654113, 292165
11349, 18907, 3072, 3055, 785086, 350085
11272, 11264, 3974, 3975, 674079, 301555
10154, 10146, 2952, 2936, 707318, 301046
10496, 10487, 2800, 2783, 708907, 302653
12557, 20025, 3046, 2762, 637318, 321957
11389, 18862, 2629, 2262, 491854, 249857
11599, 16958, 6012, 6014, 659613, 297588
10783, 14328, 5139, 2743, 601203, 309097
11565, 19074, 6943, 6265, 728952, 312916
11958, 19738, 2211, 2213, 699305, 326476
12147, 20161, 2507, 2407, 831873, 306854
11953, 16277, 2258, 2259, 487591, 284755
10302, 10294, 2328, 2253, 581662, 298717
12271, 19078, 4741, 4568, 666636, 288887
11472, 18989, 3012, 2998, 684903, 307547
11042, 18221, 3656, 2574, 710928, 311142
