Detection method: Pipeline
Clock = 37185088.000000, Chrono = 20211673, TimeR = 20.000000
Clock = 347643374.000000, Chrono = 369793215, TimeR = 369.000000

GPU use = 0
clockPerSec,1000000
FPS=0.862953
transTime, feedNetTime, netTime, thread#1, thread#2, transClock, feedNetClock, netClock
10544, 1635, 1450841, 146359, 1452679, 10387, 1635, 2609263
11097, 953, 1211746, 57862, 1212876, 10963, 1734, 2256298
10419, 867, 1188541, 61435, 1189708, 10292, 1740, 2215926
32672, 1145, 1143213, 76823, 1144573, 25607, 2292, 2128420
13402, 939, 1146287, 106379, 1147444, 24837, 1884, 2108222
11288, 1007, 1164986, 54871, 1166171, 22326, 1008, 2144908
11723, 882, 1153975, 68331, 1155054, 22878, 1767, 2194313
13711, 903, 1151685, 61470, 1152781, 27320, 1812, 2144827
13608, 916, 1170939, 54599, 1172051, 25835, 1835, 2166165
12212, 914, 1153428, 60788, 1154664, 24404, 1831, 2150628
10621, 1234, 1153983, 55673, 1155415, 21176, 2472, 2133253
12268, 907, 1148720, 52456, 1149836, 24513, 1818, 2129252
16360, 908, 1301988, 60317, 1303084, 27015, 1821, 2429518
11989, 894, 1352480, 60768, 1353572, 23524, 1792, 2497368
10768, 933, 1318265, 56881, 1319394, 21379, 1872, 2468443
11754, 890, 1347350, 58459, 1348433, 22544, 1783, 2502401
10586, 912, 1232305, 70593, 1233407, 21153, 1831, 1427580
17412, 780, 1229391, 60792, 1230351, 24149, 782, 1093690
13794, 1010, 1243548, 59769, 1244747, 27420, 852, 1092129
10845, 784, 1252543, 64195, 1253528, 21285, 787, 1095345
9970, 893, 1222389, 53911, 1223479, 19815, 897, 1092185
12471, 839, 1225685, 68576, 1226700, 24576, 840, 1092368
11214, 872, 1234200, 65497, 1235259, 22142, 799, 1092864
12839, 781, 1241725, 57076, 1242677, 25487, 784, 1094291
9866, 798, 1237056, 62651, 1238026, 19688, 801, 1091949
10828, 789, 1236092, 58027, 1237057, 19819, 791, 1093241
12307, 843, 1229175, 63757, 1230210, 24417, 792, 1094826
13090, 782, 1244476, 70584, 1245436, 25480, 785, 1091851
11616, 842, 1236141, 58417, 1237140, 23029, 844, 1092416
10223, 825, 1204139, 64570, 1205143, 20409, 827, 1092112
11878, 797, 1228871, 68515, 1229842, 23380, 800, 1093951
11459, 782, 1230948, 58923, 1231903, 22764, 784, 1093267
12635, 795, 1244471, 63747, 1245466, 24921, 797, 1091311
18261, 841, 1245383, 66372, 1246401, 24549, 844, 1091340
10475, 797, 1239357, 57513, 1240336, 20897, 799, 1094433
10756, 791, 1236485, 61880, 1237451, 21140, 793, 1091000
10239, 845, 1246683, 58097, 1247709, 20356, 847, 1092911
11066, 852, 1224531, 71992, 1225563, 21820, 779, 1098149
12130, 800, 1241198, 68943, 1242303, 23447, 802, 1092373
12175, 795, 1235651, 61319, 1236620, 23956, 798, 1092364
10465, 797, 1235343, 68381, 1236319, 20808, 800, 1096611
17048, 790, 1248365, 63026, 1249342, 27040, 793, 1092796
11608, 827, 1230867, 110145, 1231885, 22706, 829, 1093346
11068, 774, 1233411, 61075, 1234363, 21963, 776, 1092567
10212, 797, 1233459, 62208, 1234434, 20380, 799, 1091574
10518, 789, 1254970, 106996, 1255942, 20622, 791, 1092911
11038, 1130, 1233112, 91663, 1234426, 21865, 795, 1095726
13069, 775, 1247138, 77407, 1248082, 25403, 777, 1091739
17094, 926, 1228154, 87621, 1229257, 23304, 927, 1092925
11870, 791, 1251148, 65662, 1252115, 23431, 792, 1093043
10840, 794, 1245463, 76667, 1246448, 21283, 796, 1091927
11646, 850, 1232649, 95529, 1233676, 23055, 853, 1093361
12092, 819, 1235941, 66061, 1236940, 24165, 802, 1094464
10112, 792, 1250616, 60285, 1251589, 20205, 795, 1092195
10561, 839, 1238992, 64293, 1240013, 21102, 841, 1096465
21733, 820, 1233389, 73534, 1234390, 32457, 807, 1094604
12360, 794, 1243329, 61118, 1244332, 24568, 797, 1092080
11680, 940, 1258316, 75481, 1259431, 23157, 966, 1094558
10925, 849, 1232650, 78182, 1233683, 21548, 806, 1093375
10916, 773, 1245617, 57911, 1246546, 21507, 776, 1092314
10970, 801, 1227318, 80173, 1228314, 21819, 803, 1092236
11147, 780, 1233614, 88367, 1234572, 22171, 781, 1094944
11048, 832, 1250093, 79132, 1251113, 21673, 800, 1091797
24134, 852, 1233863, 88392, 1234889, 36453, 854, 1094549
21110, 797, 1231866, 106045, 1232839, 33020, 799, 1094589
12567, 834, 1226529, 68583, 1227558, 24974, 807, 1093234
10843, 780, 1246243, 84176, 1247197, 21665, 783, 1090979
10657, 776, 1231599, 85487, 1232550, 21186, 778, 1093436
10313, 792, 1226134, 76029, 1227099, 20513, 795, 1094456
21507, 792, 1220906, 82249, 1221878, 32686, 794, 1091436
10851, 800, 1249265, 71732, 1250245, 21581, 802, 1092426
10920, 792, 1230793, 78214, 1231760, 21711, 795, 1095630
10779, 795, 1226573, 81699, 1227547, 21272, 798, 1094330
12447, 795, 1239340, 82252, 1240310, 24095, 796, 1091182
