Detection method: Pipeline
Clock = 26614067.000000, Chrono = 19164798, TimeR = 20.000000
Clock = 105092488.000000, Chrono = 216622715, TimeR = 217.000000

GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=2.85463
transTime, feedNetTime, netTime, thread#1, thread#2, transClock, feedNetClock, netClock
21945, 300565, 935305, 147251, 1236059, 11443, 390085, 1381448
10552, 2240, 929481, 57227, 931916, 10416, 4483, 1262558
10726, 2433, 757780, 61998, 760424, 10548, 4685, 1057630
19481, 2649, 795756, 62480, 798570, 18374, 5289, 1117383
12471, 2237, 659273, 113756, 661703, 13844, 4478, 900348
9961, 2228, 556663, 50031, 559077, 19615, 4460, 692314
11458, 2596, 617487, 54184, 620280, 12469, 5205, 808811
13024, 2811, 813830, 57728, 816913, 22085, 2566, 1129557
14468, 2797, 864159, 56902, 867137, 12111, 5372, 1182539
10887, 2219, 615210, 61766, 617620, 12744, 4441, 961756
11226, 2220, 754381, 58172, 756832, 11217, 4443, 1062737
11454, 2751, 875791, 55442, 878736, 17471, 5309, 1214250
12230, 14756, 920786, 55296, 935735, 21208, 17015, 1246109
11575, 2248, 742040, 54661, 744490, 11788, 4502, 1080516
11731, 2258, 589524, 52768, 591997, 19449, 4519, 876317
12673, 2543, 860786, 58973, 863542, 18952, 5094, 1158313
11722, 2401, 801522, 63955, 804142, 19475, 4769, 1130110
10581, 2710, 813442, 53811, 816438, 12752, 5252, 1136727
12276, 2600, 627967, 57924, 630778, 21382, 5171, 915899
12270, 2211, 814837, 59628, 817222, 20376, 4426, 1148354
10734, 2234, 817106, 54475, 819532, 11482, 4468, 1126239
11291, 2234, 839223, 57492, 841669, 18869, 4470, 1118442
12470, 2260, 751239, 60557, 753728, 14513, 4441, 1014908
11183, 2264, 715368, 56469, 717820, 19227, 4533, 1070040
10014, 2278, 669820, 56663, 672333, 10005, 4559, 287715
11866, 2786, 701464, 58040, 704468, 17105, 2765, 260809
10189, 2873, 626445, 52867, 629475, 10179, 2874, 266494
11291, 2229, 644992, 56574, 647497, 11146, 2231, 278550
10644, 11233, 662973, 56625, 674651, 13686, 6527, 288202
11848, 7626, 848601, 55562, 856514, 13296, 7035, 298222
11429, 5752, 788504, 58755, 794487, 18577, 5333, 295369
11409, 3267, 837793, 58532, 841262, 19237, 3104, 287090
11343, 6039, 780105, 54775, 786403, 18707, 2635, 288196
11258, 2660, 813159, 58372, 816113, 18608, 2468, 276229
11170, 3989, 623112, 58133, 627471, 15462, 3437, 273893
10265, 7039, 761548, 53892, 768797, 13264, 6578, 278632
12192, 3771, 802976, 59761, 806938, 15298, 3773, 300987
11231, 3922, 816028, 60158, 820292, 18595, 3923, 275285
11647, 3370, 827270, 58668, 831017, 17657, 3289, 282902
11054, 3702, 672604, 59812, 676562, 16657, 3683, 278936
10516, 3908, 810806, 61508, 814970, 10507, 3810, 283573
11367, 4916, 690799, 54666, 695964, 12022, 3535, 270729
11624, 2889, 596727, 101040, 599790, 11614, 2870, 277677
11669, 2480, 739449, 62944, 742177, 18272, 2481, 275450
12425, 4074, 846580, 57298, 850980, 15470, 3965, 296949
12154, 4018, 684928, 94880, 691661, 13482, 3927, 270846
12713, 5449, 633173, 82120, 639007, 15838, 3783, 262334
12081, 2739, 611250, 66123, 614326, 19976, 2657, 260316
11224, 3930, 696344, 80706, 700490, 18586, 3932, 283736
12661, 2770, 594797, 65284, 597744, 16222, 2705, 261440
12301, 2225, 628480, 65812, 631036, 21716, 2227, 270877
10076, 5273, 776700, 70965, 782175, 10068, 5275, 271787
10920, 2735, 720334, 62067, 723263, 10911, 2719, 258729
10073, 2840, 794489, 59279, 797558, 10065, 2764, 290514
11195, 2636, 675974, 63571, 678813, 18409, 2597, 274704
11574, 2672, 699553, 63951, 702421, 17122, 2527, 282821
12726, 3879, 684878, 60292, 692632, 17832, 3881, 265468
12219, 4173, 815289, 65394, 819721, 20421, 2752, 299641
11909, 3950, 774968, 70193, 779212, 19502, 3796, 288258
11241, 10492, 745510, 58769, 756210, 14350, 5305, 266631
12543, 2800, 681807, 71998, 684842, 20908, 2763, 290074
13194, 3375, 594700, 74303, 598311, 21787, 3376, 274973
12502, 2792, 707069, 66831, 710179, 22543, 2729, 296379
13796, 4252, 838516, 75587, 842956, 20448, 4254, 276156
10857, 2466, 611044, 72321, 613917, 10848, 2467, 271965
11932, 15466, 721167, 66936, 736869, 19708, 4584, 274850
12436, 3187, 677455, 76324, 680905, 20525, 3061, 275152
11221, 4052, 858853, 84354, 863090, 18473, 4054, 286630
24239, 2404, 767696, 78807, 770345, 30556, 2319, 287869
11167, 6915, 726052, 71577, 733207, 18407, 3419, 282435
13127, 3039, 811570, 115481, 814958, 14681, 2952, 275920
11602, 3753, 684526, 77474, 688452, 10950, 3688, 273274
12176, 8477, 416924, 74404, 425553, 12364, 2265, 256624
12185, 2238, 671609, 73582, 674072, 11429, 2239, 263384
18093, 2929, 720005, 93066, 723161, 22244, 2930, 289708
22552, 2888, 804807, 136344, 808002, 33369, 2870, 299986
12674, 3044, 671593, 135510, 674862, 21844, 2965, 275922
12541, 2853, 676551, 64040, 679619, 16420, 2854, 284713
12222, 2743, 738221, 64764, 741210, 11267, 2745, 279539
23796, 3919, 815298, 90680, 819484, 30639, 3773, 279849
12996, 3857, 782703, 113456, 786812, 16441, 3858, 296829
11935, 3094, 624865, 62883, 628169, 19715, 2629, 259543
12657, 2725, 794781, 75577, 797732, 20773, 2711, 278887
17982, 2959, 805239, 83040, 808440, 18282, 2939, 268681
18232, 2785, 773705, 70383, 776975, 20451, 2740, 288644
10371, 3261, 684408, 65745, 687964, 10363, 2705, 277046
14269, 19532, 625814, 64784, 645570, 22417, 3920, 268254
11946, 2963, 785866, 64909, 789041, 15148, 2944, 284106
12939, 2740, 834051, 68203, 837058, 21172, 2740, 289372
12338, 3467, 780827, 61768, 784478, 20278, 3451, 282494
11920, 2333, 687899, 63894, 690480, 19724, 2334, 260110
12202, 2903, 623475, 65867, 626535, 19554, 2842, 267119
11566, 2550, 636091, 61673, 639057, 14360, 2551, 269038
12290, 11658, 724840, 64663, 736805, 20177, 4016, 284529
11148, 3620, 661676, 63508, 665573, 18455, 3312, 271043
13161, 5350, 763487, 60950, 769133, 14846, 5352, 281293
11013, 3847, 739429, 59988, 743667, 11296, 3849, 285742
13855, 4801, 642835, 65467, 647842, 17605, 4775, 287935
11334, 2365, 738467, 54033, 741109, 11326, 2326, 275590
11049, 3420, 782155, 57870, 785758, 11041, 3342, 304846
10596, 2418, 606675, 58221, 609344, 10587, 2419, 261605
11413, 3050, 687348, 52165, 690656, 13120, 3036, 269496
13105, 3666, 640703, 60103, 644672, 17533, 3645, 283576
11761, 4119, 635267, 61578, 641115, 19411, 4121, 276982
11671, 2816, 737371, 58256, 740484, 19307, 2818, 273577
11914, 3813, 746483, 64091, 750474, 17810, 3695, 264942
11569, 2329, 860536, 72940, 863087, 19104, 2331, 280594
11484, 2195, 694127, 58289, 696550, 18878, 2161, 276736
13261, 2883, 777146, 84649, 780344, 16639, 2867, 284584
11898, 2958, 665954, 65947, 669113, 19720, 2900, 266089
10840, 2586, 722068, 60976, 724825, 13171, 2587, 292412
10933, 2618, 570601, 76055, 573380, 10925, 2250, 267886
14139, 2222, 667944, 70140, 670383, 23484, 2223, 280530
17915, 2603, 809790, 72007, 812703, 21084, 2605, 311276
14254, 4482, 721294, 82562, 726131, 28492, 4406, 281974
14829, 4198, 652833, 74951, 657236, 28500, 4134, 273947
12647, 2738, 638294, 64922, 641295, 23758, 2739, 279178
11982, 3734, 645104, 71484, 649047, 22525, 3735, 281865
12444, 4514, 874303, 71219, 879114, 22120, 2847, 293284
12798, 3756, 593943, 59866, 598015, 20511, 3737, 290022
12220, 9056, 659560, 60390, 668888, 12212, 8901, 278875
13029, 3894, 734025, 58450, 738268, 18220, 3836, 294971
12826, 7438, 747028, 57393, 754708, 21292, 5351, 301002
13134, 3102, 925185, 59992, 928476, 15846, 2980, 297269
10526, 10270, 592709, 57366, 603259, 14313, 2348, 269114
11946, 3779, 632343, 56912, 636304, 19955, 3699, 268799
12690, 2235, 606058, 61008, 608658, 20923, 2236, 284758
12055, 4827, 876628, 61346, 881719, 19876, 4795, 303661
13021, 2921, 720608, 117007, 723768, 21350, 2848, 297181
12068, 2996, 770231, 66585, 773508, 14474, 2979, 295437
10657, 3906, 731015, 56536, 735363, 12878, 3883, 288323
12613, 14602, 458102, 56941, 472902, 21881, 7813, 250962
10625, 2561, 602963, 55846, 605705, 10614, 2480, 271262
11281, 2229, 788479, 60051, 790879, 11273, 2231, 288203
12043, 2205, 630340, 57301, 632887, 13764, 2206, 276171
12602, 5199, 707490, 59992, 712948, 16496, 5201, 306423
11776, 7809, 645374, 68262, 653447, 19514, 6703, 270956
11850, 3490, 723644, 56068, 727506, 17748, 3393, 275273
12729, 3165, 667866, 58356, 671322, 21064, 3148, 289767
13276, 4099, 822112, 59634, 826492, 18334, 3909, 284996
12776, 5968, 732977, 56297, 739321, 21038, 2324, 288895
12481, 19009, 555140, 58092, 574311, 20528, 8051, 267108
12168, 2228, 582915, 57244, 585392, 20027, 2229, 267891
11378, 3030, 732892, 52795, 736119, 14247, 3031, 277466
12895, 2410, 691597, 55789, 694291, 21365, 2412, 284080
11525, 3668, 765442, 55478, 769424, 15552, 3649, 294271
12042, 4796, 734185, 51410, 739370, 16473, 4418, 282566
11004, 3800, 633527, 54702, 637675, 12249, 3802, 277493
12265, 19551, 778499, 56625, 798366, 12255, 6121, 280953
14151, 4019, 772427, 55386, 776648, 20741, 4001, 290834
12512, 3235, 741397, 56394, 745049, 13988, 2776, 286144
10194, 14803, 612117, 56566, 627127, 10184, 3954, 267898
11460, 2707, 861759, 56209, 864812, 17644, 2697, 296913
12483, 4763, 762366, 57810, 767344, 18577, 4765, 301061
11049, 2564, 834253, 58977, 837076, 18225, 2566, 285242
12712, 3369, 547283, 57720, 550838, 14912, 3347, 260145
11898, 2283, 667033, 58727, 669598, 19718, 2258, 274345
11018, 5286, 725421, 59201, 731010, 14485, 5287, 284809
12427, 3508, 740180, 56927, 743936, 20356, 3394, 278000
12297, 4023, 819876, 58827, 824211, 17720, 3856, 298032
11476, 3807, 679923, 59370, 683927, 18207, 3699, 292254
11591, 2473, 562489, 55892, 565247, 19196, 2473, 273060
13215, 3762, 705840, 58124, 709871, 13908, 3617, 280421
10586, 2310, 858528, 57651, 861087, 11924, 2267, 300500
13935, 3058, 742828, 57232, 746119, 19392, 3038, 299308
12085, 2828, 604444, 58996, 607479, 20196, 2831, 253597
11901, 2588, 653052, 66309, 656009, 19854, 2589, 293607
12396, 5421, 745474, 52069, 751125, 17419, 5285, 300512
10645, 3082, 719541, 52671, 722857, 13450, 2954, 287440
12237, 2930, 716715, 56784, 719833, 13009, 2932, 288589
11137, 2399, 682557, 54985, 685117, 18356, 2401, 275755
13167, 2126, 574647, 59051, 577282, 21366, 2128, 268189
12163, 10908, 634222, 58886, 645315, 20021, 9838, 267856
12706, 2228, 759087, 56316, 761559, 21561, 2229, 297776
11886, 15922, 795435, 57763, 811649, 19598, 3877, 288599
11970, 8500, 737147, 59532, 745929, 15863, 5769, 285142
11959, 3508, 697473, 58095, 701252, 11911, 3428, 281998
11316, 3680, 775424, 64833, 779391, 11479, 3663, 296400
18632, 15434, 750994, 81864, 766970, 23914, 4805, 298612
12383, 20222, 759539, 85252, 780012, 19344, 5582, 286645
25311, 2777, 677646, 88705, 680715, 41678, 2731, 287265
12633, 6214, 666936, 61633, 673468, 24674, 3515, 285457
12797, 9394, 741836, 59326, 751502, 25577, 5053, 277456
11851, 3697, 695955, 59619, 699868, 13483, 3676, 275177
12352, 2728, 681138, 59017, 684050, 21957, 2708, 279234
12177, 2235, 532771, 54401, 535287, 12166, 2235, 253602
10023, 3612, 647056, 53756, 650892, 10014, 3614, 286269
10397, 3055, 722762, 55590, 726065, 11610, 3020, 284968
11297, 2963, 723381, 48352, 726647, 11289, 2912, 274683
12481, 3924, 791424, 54262, 795640, 15596, 3926, 302814
