Detection method: Serial
Clock = 344535258.000000, Chrono = 379613201, TimeR = 380.000000
Clock = 344535263.000000, Chrono = 379613204, TimeR = 380.000000

GPU use = 0
clockPerSec,1000000
FPS=0.870738
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
11647, 844, 1230418, 11645, 847, 1205420
11157, 18, 1108991, 11155, 21, 1083471
10587, 50, 1109351, 10585, 53, 1082286
11046, 49, 1126950, 10942, 53, 1084567
11004, 50, 1106435, 10903, 55, 1082142
10793, 17, 1106201, 10790, 21, 1082199
12227, 50, 1107831, 12102, 55, 1082616
11653, 50, 1090740, 11557, 54, 1081186
12162, 51, 1097644, 12058, 55, 1081092
11851, 17, 1220925, 10970, 21, 1095112
10981, 51, 1256866, 10875, 54, 1142759
19698, 72, 1313762, 16733, 76, 1200056
11131, 53, 1190107, 11128, 57, 1116351
12928, 24, 1257816, 12820, 27, 1116039
14223, 21, 1224814, 13929, 24, 1115509
10881, 17, 1465018, 10640, 21, 1110308
17655, 17, 1268473, 11953, 21, 1094028
11492, 16, 1204141, 11006, 20, 1088900
10418, 17, 1183210, 10392, 21, 1088588
10695, 17, 1186203, 10558, 21, 1086894
18390, 17, 1197484, 11666, 20, 1090492
10601, 16, 1298250, 10462, 21, 1112492
14834, 23, 1190028, 14812, 25, 1106183
11056, 17, 1196618, 10929, 21, 1089719
11004, 18, 1198201, 10717, 22, 1091620
13287, 16, 1199305, 10677, 19, 1091532
10776, 17, 1194772, 10572, 22, 1090551
10428, 17, 1195322, 10425, 22, 1088761
12231, 16, 1275542, 10858, 20, 1103816
10661, 17, 1218411, 10539, 20, 1092771
11037, 16, 1182495, 10811, 19, 1086469
11183, 17, 1210617, 11053, 21, 1090097
11095, 19, 1183111, 10805, 23, 1086531
10580, 16, 1198773, 10471, 20, 1089853
17725, 18, 1184165, 11098, 21, 1086898
10816, 17, 1205546, 10699, 21, 1089044
18009, 17, 1191250, 10853, 22, 1087019
11104, 17, 1198593, 11001, 21, 1091559
18232, 17, 1186699, 11161, 21, 1087281
