Detection method: Serial
Clock = 343952332.000000, Chrono = 387812312, TimeR = 387.000000
Clock = 343952338.000000, Chrono = 387812315, TimeR = 387.000000

GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=0.872214
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
11973, 887, 1362632, 11944, 854, 1212526
11986, 17, 1236598, 11886, 21, 1087867
10799, 49, 1218179, 10674, 69, 1085979
11500, 51, 1240332, 11475, 55, 1089075
10605, 50, 1218418, 10446, 54, 1089208
22045, 18, 1226860, 11046, 21, 1087782
10568, 50, 1215126, 10566, 55, 1086269
10632, 50, 1203450, 10631, 53, 1087936
10626, 50, 1243440, 10598, 55, 1089567
11033, 17, 1224292, 10781, 37, 1090226
18022, 59, 1216676, 12044, 64, 1086210
10910, 50, 1218247, 10409, 54, 1086182
10404, 51, 1226893, 10401, 55, 1091024
12133, 16, 1217130, 11586, 20, 1087399
11677, 16, 1238349, 11576, 20, 1087421
11592, 17, 1219221, 11590, 21, 1086361
11708, 18, 1221820, 11532, 22, 1086292
10516, 18, 1241958, 10415, 21, 1091008
11869, 18, 1204021, 11867, 22, 1090561
22070, 37, 1230088, 11972, 42, 1087205
11030, 17, 1228871, 10993, 21, 1088204
10369, 18, 1222572, 10367, 22, 1086285
11715, 18, 1231076, 11598, 21, 1090493
12026, 18, 1214259, 11568, 23, 1091617
21019, 17, 1219500, 11613, 22, 1085892
12061, 17, 1225239, 11640, 22, 1087248
11466, 17, 1234111, 11065, 21, 1087083
11653, 18, 1227291, 11550, 21, 1088847
11731, 17, 1241576, 11563, 21, 1089036
10877, 18, 1219077, 10508, 22, 1088282
10593, 17, 1246131, 10450, 22, 1086499
11563, 17, 1228591, 11561, 20, 1086875
11699, 17, 1228619, 11576, 21, 1086556
10844, 16, 1235712, 10840, 38, 1088887
10906, 18, 1234427, 10761, 22, 1090666
12132, 18, 1224325, 11633, 22, 1088458
12417, 18, 1218902, 11981, 22, 1088571
12031, 17, 1252459, 11614, 21, 1087163
11647, 17, 1227022, 11546, 22, 1085104
11736, 17, 1234309, 11581, 22, 1089435
10450, 17, 1235381, 10446, 21, 1087786
11658, 17, 1227371, 11555, 22, 1089434
11512, 18, 1238276, 11509, 46, 1088370
11559, 17, 1222389, 11557, 21, 1085858
11600, 18, 1232455, 11497, 23, 1088015
11687, 17, 1224531, 11560, 21, 1088347
10673, 17, 1232363, 10430, 21, 1085591
11990, 17, 1244629, 11579, 20, 1088492
11761, 17, 1232931, 11589, 21, 1086780
12146, 18, 1236325, 11615, 21, 1087298
11742, 17, 1228458, 11587, 21, 1088052
11436, 18, 1222120, 11335, 21, 1085755
11647, 17, 1255749, 11544, 21, 1091517
10363, 17, 1210793, 10360, 22, 1091963
