GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GeForce GTX 960M, 1, 2048, 4242604032, 65536, 1, 5, 1176000, 1, 1
clockPerSec,1000000
FPS=15.1084
Clock = 3389230.000000, Chrono = 886654, TimeR = 0.000000
Clock = 6618828.000000, Chrono = 4114048, TimeR = 4.000000

transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
2811, 2807, 15160, 49704, 59652, 209568
2972, 10942, 191, 191, 39431, 138414
3019, 6136, 172, 173, 39751, 138181
4411, 12405, 226, 227, 42280, 153256
2877, 12510, 193, 193, 39290, 137288
4322, 13791, 192, 192, 39416, 143350
2866, 10886, 178, 178, 39192, 174610
2853, 10850, 203, 3205, 39966, 167903
2927, 2924, 225, 225, 42098, 178125
3308, 12504, 168, 169, 39527, 155818
3158, 16048, 189, 191, 39374, 163160
4456, 12450, 202, 203, 40080, 173048
2929, 10925, 210, 210, 41097, 176557
3168, 15171, 250, 251, 43160, 192529
3066, 11061, 226, 226, 39507, 160301
2983, 10996, 189, 190, 40117, 164646
2865, 2862, 225, 226, 39816, 163257
2880, 10875, 228, 229, 39809, 157014
3025, 13327, 177, 178, 48909, 180178
4666, 12659, 243, 8264, 45430, 64988
3288, 3283, 165, 165, 38977, 38979
3138, 13244, 140, 141, 38907, 38923
3189, 11178, 154, 154, 43845, 43847
3089, 11094, 143, 144, 38898, 38914
3088, 11084, 160, 161, 39113, 39123
3270, 11275, 139, 139, 45786, 45789
3038, 3033, 161, 162, 39088, 39104
4571, 12552, 156, 157, 43426, 43422
3665, 15218, 161, 161, 39055, 39070
3344, 15894, 153, 154, 38847, 38849
3155, 11099, 136, 136, 38826, 38828
3086, 13272, 157, 157, 39111, 39135
2961, 10957, 193, 194, 42091, 42092
3048, 3275, 172, 172, 38897, 38913
3048, 17085, 156, 157, 38931, 38932
4754, 20744, 158, 158, 38954, 38956
4801, 14816, 158, 158, 39183, 39198
4890, 26099, 155, 155, 40027, 40037
4984, 21090, 160, 160, 42795, 42810
3175, 3170, 134, 135, 38896, 38897
3145, 22018, 136, 137, 38943, 38944
4763, 17609, 136, 137, 38956, 38969
4801, 18260, 138, 138, 41905, 41907
4390, 18753, 157, 158, 39003, 39018
3349, 11343, 134, 135, 39033, 39035
3268, 13794, 158, 158, 38937, 38939
3492, 19150, 155, 155, 38954, 38968
3367, 15866, 155, 156, 40064, 40066
3243, 14817, 158, 159, 40427, 40456
4952, 14599, 142, 143, 38824, 38836
3646, 15224, 156, 157, 38950, 38950
3175, 11161, 156, 157, 38896, 38911
3240, 17483, 157, 158, 43989, 43986
3420, 15415, 156, 157, 38856, 38887
3390, 15385, 158, 158, 38975, 38977
3059, 13585, 165, 166, 38951, 38952
3094, 14792, 160, 161, 38980, 38996
4977, 19706, 138, 139, 40118, 40120
5100, 17095, 142, 142, 43068, 43085
3155, 16729, 142, 143, 38991, 38988
3404, 15397, 157, 158, 38838, 38840
3473, 15466, 136, 136, 39001, 39016
3564, 19842, 134, 135, 43883, 43894
3439, 15486, 168, 169, 38970, 38986
5039, 17776, 149, 150, 39036, 39037
4695, 32542, 153, 153, 39034, 39036
3635, 15631, 139, 139, 38929, 38943
3540, 18637, 137, 137, 40091, 40093
3715, 15709, 143, 143, 40412, 40427
3889, 15885, 154, 154, 38923, 38925
3706, 19699, 157, 158, 38804, 38805
3308, 5856, 136, 136, 38957, 38973
3321, 15313, 142, 143, 40100, 40101
3423, 15417, 158, 159, 40392, 40409
3339, 12945, 159, 159, 39007, 39019
3269, 15548, 134, 135, 39410, 39412
3405, 16045, 191, 192, 38924, 38939
3408, 15401, 162, 163, 39173, 39169
3320, 15314, 154, 155, 41641, 41661
3147, 13001, 165, 166, 39089, 39091
3097, 15633, 160, 161, 38917, 38919
3293, 15287, 159, 159, 39059, 39074
3434, 15418, 183, 184, 39000, 39001
3905, 16864, 177, 178, 41709, 41755
3683, 14645, 142, 143, 38997, 38998
3301, 15296, 156, 157, 38885, 38886
3451, 18818, 158, 159, 38901, 38959
3225, 15220, 156, 157, 38909, 38918
3227, 15221, 156, 157, 41689, 41705
3278, 14864, 162, 163, 38997, 38998
3294, 15289, 159, 160, 38969, 38970
3400, 14367, 136, 137, 38987, 38992
3410, 11405, 154, 154, 38941, 38942
3399, 15396, 158, 159, 41739, 41755
3205, 14305, 145, 146, 39092, 39094
3933, 11926, 157, 158, 39132, 39133
3147, 11139, 137, 138, 38953, 38969
3420, 12548, 139, 140, 38945, 38946
3395, 15389, 156, 156, 41773, 41790
3323, 13738, 170, 171, 39141, 39153
Detection method: 0
Clock = 3356250.000000, Chrono = 1134409, TimeR = 2.000000
Clock = 6656472.000000, Chrono = 4427957, TimeR = 5.000000

GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GeForce GTX 960M, 1, 2048, 4242604032, 65536, 1, 5, 1176000, 1, 1
clockPerSec,1000000
FPS=15.023
transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
80275, 4185, 146548, 234989, 121985, 353086
3001, 7001, 212, 213, 42635, 147116
3090, 7110, 317, 319, 42819, 153975
3445, 8608, 221, 222, 41089, 186487
2936, 2935, 235, 236, 47616, 216213
3477, 8068, 286, 286, 58467, 229332
3058, 7062, 202, 203, 40757, 154219
3059, 10539, 197, 198, 39458, 171408
4581, 8598, 172, 173, 39815, 165908
3157, 4731, 228, 230, 39530, 171036
3122, 13095, 182, 414, 39338, 158285
2931, 9753, 210, 210, 39332, 153120
2946, 6951, 164, 165, 39453, 163051
3068, 11294, 292, 293, 39434, 150851
4563, 14201, 190, 190, 39313, 152016
3038, 3038, 185, 1051, 39444, 138531
4661, 11516, 278, 279, 46263, 68715
2991, 2991, 149, 150, 39081, 39145
3263, 11272, 166, 166, 39010, 39061
4747, 12758, 166, 167, 39067, 39117
3101, 11125, 148, 149, 38974, 39036
3218, 15234, 149, 150, 39539, 39591
3760, 11866, 169, 170, 38919, 38998
3135, 11145, 151, 151, 38888, 38947
5282, 28093, 146, 147, 39138, 39189
