Detection method: Serial
Clock = 2696674.000000, Chrono = 2663521, TimeR = 3.000000
Clock = 2696676.000000, Chrono = 2663522, TimeR = 3.000000

GPU use = 0
clockPerSec,1000000
FPS=3.70827
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
85989, 1106, 343287, 9106, 1110, 303316
3351, 6, 221826, 7360, 8, 227667
2962, 6, 224971, 2961, 9, 230848
3170, 7, 227528, 3168, 10, 233983
4866, 7, 229652, 8856, 10, 234242
3046, 23, 228000, 7040, 25, 231985
3040, 5, 228355, 7038, 7, 231413
3009, 5, 228060, 7007, 8, 229662
2991, 6, 228300, 2990, 8, 234953
2971, 5, 228736, 6958, 7, 236247
----------------

