transTime,feedNet,netTime
clockPerSec: ,1000000
3628,81780,228045
9431,238,178492
8460,3461,179600
7478,257,266596
7484,3435,254142
8315,223,208991
7557,216,216564
9467,669,238831
7522,218,215259
7478,1751,200625
12688,10375,177530
7483,224,199373
3477,9611,190851
3478,223,208772
3487,218,215913
9386,373,196863
18597,343,189841
11641,218,166491
5858,204,240471
3533,387,205197
15544,273,185370
11541,12270,193921
11518,7136,176384
21470,259,195025
15758,231,182739
14537,224,218403
13231,345,193770
11950,258,188752
15640,4049,167262
13455,236,189913
14553,205,188860
21759,253,192428
15786,216,196846
16710,202,193652
18208,215,185851
3547,5969,198030
12458,218,201862
15977,233,193959
31587,271,215896
23812,211,197044
17610,217,193519
28179,423,225189
17593,11079,192913
31981,237,197835
15442,267,181942
16597,193,204856
15417,198,194445
19679,5524,184679
5139,306,177979
18471,218,188657
15758,262,219241
15680,189,186702
15632,259,183755
11572,233,196658
3493,430,177197
21518,213,168496
19056,11675,167128
17435,244,192967
20006,285,198344
12785,226,188176
15701,228,175916
18241,5374,169774
27116,8477,198334
29506,208,202164
15366,588,189142
13430,190,171307
29539,217,199534
16618,235,167184
4400,406,175497
15756,206,191209
13948,204,178338
17202,219,182224
15772,239,186642
14935,228,173101
25335,254,188200
11617,304,171738
14509,206,178095
9327,211,183451
25223,283,200815
14235,231,174763
18972,213,169345
17338,597,217792
17698,232,218846
11572,206,174323
15753,258,185561
14301,231,242455
15951,7288,183304
16734,250,180277
14463,214,209494
13497,184,177397
28352,4342,186795
11554,232,196157
13629,226,164774
11245,266,185122
17934,291,170464
14012,225,197312
14002,210,175007
21482,329,168291
15829,218,172946
11486,315,174380
18214,214,198076
13050,349,176256
16086,206,190717
23773,415,181095
16005,8927,147646
17145,266,208804
17497,214,203522
12973,224,224701
15970,253,188649
15850,193,167505
17254,269,211625
15016,213,189960
17576,212,185301
11508,383,199920
10711,267,184676
9962,395,187831
11683,5263,184989
13502,217,180143
14049,230,173360
19622,222,174322
16791,256,183720
20273,222,191237
13260,202,192363
17443,203,184327
20764,294,186942
27486,221,189452
13889,238,185297
21698,414,184454
15203,10916,211977
12635,448,217139
15733,250,172974
12276,258,213537
15743,230,251584
21715,437,203270
11649,213,198595
13534,255,222810
11694,199,194601
11826,322,189022
11667,228,195243
11775,264,190585
17006,248,175623
13624,234,191553
11761,222,225667
11666,249,179951
16098,268,235312
13586,259,224351
11714,283,254307
11616,3384,265784
14422,425,277830
13661,251,280655
19430,314,263813
13078,1404,212204
15084,305,256259
21606,3761,209704
16692,306,234816
3538,186,183231
20153,239,191364
13366,204,192002
11555,223,184828
14697,308,206575
18348,216,192809
11909,218,186674
11808,206,174472
11563,319,172050
26664,241,188382
12991,209,174970
11495,391,204273
15577,217,175499
18327,4675,197155
15426,223,320523
13266,580,234764
13642,264,220136
29502,261,227124
14721,236,217036
15844,247,201012
11532,223,232087
11534,222,227572
11473,216,216581
11565,2007,216242
12236,239,228810
14945,231,193747
12136,327,184945
13555,229,190683
12056,226,180981
11675,249,182076
12015,230,194683
11617,261,189914
11552,233,174048
17839,185,183953
8292,259,239686
15660,216,206036
13522,335,169217
13177,220,178530
11640,3977,237104
11557,209,184167
9832,3015,181806
17267,227,207483
11519,202,183987
12005,6591,190822
13455,266,208690
3562,2654,200641
11494,227,176764
11693,8829,198788
11768,230,190969
16623,299,199409
11704,232,200150
3664,234,206050
13564,238,179509
12344,239,183732
11006,288,217579
12165,517,216282
3550,216,198342
15672,240,171448
11608,210,187503
11701,274,201510
21594,5304,180826
16969,218,217133
3639,216,191528
13514,222,188317
16421,2368,172017
18449,209,183300
16247,230,196090
11543,222,183947
21475,250,176958
9693,3981,202323
10687,184,178635
14537,263,133721
11721,220,99371
28963,192,54025
15987,191,53227
10755,193,54586
13670,169,51355
15833,176,50093
12518,199,53731
15059,191,52407
15219,184,57216
19031,195,50466
17934,190,54650
14618,183,52562
15429,175,58266
15586,186,54778
14450,185,53369
16512,191,52255
16321,200,57270
15666,203,53424
14478,184,52064
11476,187,52166
11621,189,51947
21387,188,55535
11800,173,52193
12085,191,54516
13570,192,57269
21808,194,53639
21986,191,54841
11661,193,51862
16201,214,57124
13943,170,55327
14814,192,52004
6174,217,53571
12596,189,51874
16687,192,55614
11778,168,53691
13801,175,52423
11561,193,57878
11574,194,54137
15479,187,53375
17413,193,54856
15628,191,51715
16126,189,59365
11507,168,51988
15217,204,52037
13430,209,52311
3558,189,52686
11874,199,56355
13633,209,57160
21478,211,50681
15982,227,55586
11532,198,52279
15617,203,57170
12281,193,53764
16017,199,53359
15188,189,55527
11467,189,53308
13512,192,53530
14494,192,48600
16022,190,57414
15622,194,52252
16784,193,53438
4823,198,50645
17304,194,54198
11488,173,56218
13484,166,53504
14236,183,58319
9382,191,50775
11514,224,53729
11602,195,55026
20197,201,53511
13513,177,51923
12445,198,52010
21419,196,53207
11620,198,52179
11863,175,53780
4788,197,54571
13285,195,55301
17069,213,54666
21499,189,54780
17741,216,56723
13454,190,51928
11598,193,52123
15569,197,58580
16133,192,53564
15290,191,54663
16167,169,55901
13548,204,54658
10005,188,55265
13494,195,53991
11587,190,54706
16087,191,52165
10047,185,54571
11818,180,55743
13809,173,53706
13450,189,52138
13790,189,51569
21538,189,51762
14949,190,53422
15549,189,55503
10829,184,55037
16180,194,55439
13269,204,54563
21563,191,54729
16295,168,56991
13447,186,54763
11564,189,56908
13321,189,51203
11433,190,51779
11705,195,55912
11267,173,55210
21466,188,54654
11340,187,55164
21576,207,54692
28386,166,54595
