mode: serial False, gpu False,,,,,,
GPU use = False,,,,,,,
gpuStart, gpuEnd, cpuStart, cpuEnd,,,,
1.57829349480842E+015,1.57829349486556E+015,1.5782934945357E+015,1.57829349480006E+015,,57136,264359,-272720.75
1.57829349506597E+015,1.57829349511459E+015,1578293494800328,1.57829349500748E+015,,48619,207156.75,-265642.25
1578293495315005,1.57829349536278E+015,1.57829349500838E+015,1578293495205068,,47778.25,196687.5,-306624.5
1.57829349556319E+015,1578293495624063,1578293495205191,1.5782934954012E+015,,60875.5,196012.25,-357996.5
1.57829349562421E+015,1.57829349567053E+015,1578293495402081,1.57829349559349E+015,,46324.5,191406.75,-222125.25
1578293495871025,1.57829349591515E+015,1.57829349559483E+015,1.57829349578084E+015,,44126.75,186016.75,-276198.5
1.57829349611569E+015,1.57829349616339E+015,1578293495782001,1.57829349596559E+015,,47701,183591.25,-333689.25
1578293496163620,1.57829349621163E+015,1.57829349596581E+015,1578293496149046,,48008.25,183236.75,-197810.75
1.57829349641207E+015,1.57829349645658E+015,1.57829349615024E+015,1.57829349633085E+015,,44507.5,180617,-261833.5
1.57829349665735E+015,1.57829349671302E+015,1.57829349633103E+015,1.57829349651574E+015,,55667.75,184706.25,-326316.25
----------------,,,,,,,
mode: serial False, gpu False
GPU use = False
gpuStart, gpuEnd, cpuStart, cpuEnd
1578294007209408.8, 1578294007468805.5, 1578294006893333.8, 1578294007180799.8
1578294007468893.0, 1578294007517093.0, 1578294007182079.8, 1578294007415106.0
1578294007717517.5, 1578294007764675.5, 1578294007416037.8, 1578294007611990.8
1578294007965093.5, 1578294008012718.5, 1578294007612105.2, 1578294007803662.2
1578294008012976.5, 1578294008061140.5, 1578294007803812.5, 1578294007993793.8
1578294008261542.0, 1578294008309141.8, 1578294007993905.0, 1578294008186770.5
1578294008509542.0, 1578294008556493.8, 1578294008187646.5, 1578294008379501.5
1578294008756917.0, 1578294008806802.8, 1578294008380403.2, 1578294008571452.0
1578294008806959.0, 1578294008852007.0, 1578294008572321.0, 1578294008761705.8
1578294009052420.8, 1578294009096948.2, 1578294008761886.5, 1578294008945430.0
1578294009297395.2, 1578294009346788.8, 1578294008946626.5, 1578294009130126.2
1578294009346879.5, 1578294009391660.2, 1578294009130956.0, 1578294009315038.0
1578294009592106.8, 1578294009649294.0, 1578294009316235.5, 1578294009496587.0
1578294009849791.5, 1578294009899257.0, 1578294009497784.8, 1578294009693882.8
1578294009899482.2, 1578294009944347.2, 1578294009694941.8, 1578294009874610.5
1578294010144862.0, 1578294010189275.2, 1578294009874882.0, 1578294010055471.0
1578294010389733.0, 1578294010438587.0, 1578294010056594.0, 1578294010237211.8
