mode: serial False, gpu False
GPU use = False
transTime, feedNetTime, netTime, thread#1, thread#2
11951.9233704, 11308.9084625, 1462823.15254, 152159.929276, 1485146.04568
10761.0225677, 398.874282837, 1290942.90733, 70641.9944763, 1301954.03099
13090.8489227, 369.071960449, 1267913.81836, 110491.037369, 1280157.08923
12310.9817505, 398.874282837, 1292499.0654, 64568.9964294, 1310115.09895
12166.0232544, 510.931015015, 1194133.99696, 64105.9875488, 1212121.9635
12482.1662903, 428.199768066, 1223297.8344, 64970.0164795, 1235818.86292
15526.0562897, 502.824783325, 1129019.02199, 64828.8726807, 1148410.08186
12313.1275177, 382.1849823, 1214709.99718, 66166.1624908, 1227584.83887
10879.0397644, 401.973724365, 1314275.02632, 61961.889267, 1337244.98749
11390.209198, 468.015670776, 1243051.76735, 62433.9580536, 1251801.96762
13545.9899902, 434.160232544, 1335425.85373, 70414.0663147, 1344259.97734
12192.0108795, 598.907470703, 1290627.95639, 62078.9527893, 1318462.13341
11594.0570831, 501.155853271, 1306630.84984, 59820.8904266, 1321634.76944
11578.7982941, 490.90385437, 1261109.11369, 65133.0947876, 1270977.02026
16794.9199677, 406.02684021, 1154691.93459, 61239.0041351, 1167801.85699
12009.1438293, 377.893447876, 1149801.96953, 64280.9867859, 1162564.03923
11797.9049683, 365.018844604, 1161601.06659, 74990.0341034, 1176440.95421
14441.0133362, 365.018844604, 1172360.89706, 66079.8549652, 1184636.11603
11466.9799805, 332.117080688, 1194427.0134, 61383.9626312, 1207070.11223
11722.0878601, 311.136245728, 1196665.0486, 70239.0670776, 1209423.06519
24477.0050049, 308.990478516, 1195758.10432, 72627.0675659, 1208841.08543
11951.9233704, 308.990478516, 1206889.86778, 63215.0173187, 1220636.12938
11674.8809814, 315.90461731, 1193374.15695, 69128.9901733, 1205732.10716
12139.081955, 415.086746216, 1192852.02026, 65979.9575806, 1206183.91037
17571.9261169, 305.17578125, 1193530.79796, 71738.0046844, 1206218.00423
11597.1565247, 308.036804199, 1191143.98956, 70765.0184631, 1203757.04765
13343.0957794, 328.063964844, 1219069.00406, 70398.0922699, 1232000.11253
13492.1073914, 305.891036987, 1190650.93994, 94563.9610291, 1202888.96561
11675.1194, 302.076339722, 1189917.08755, 64526.7963409, 1201761.96098
11872.0531464, 304.937362671, 1190988.06381, 70976.97258, 1203343.153
12979.9842834, 298.976898193, 1190438.98582, 77637.9108429, 1202031.85081
12356.0428619, 307.083129883, 1201318.02559, 63283.9202881, 1213781.11839
12751.1024475, 303.983688354, 1189323.90213, 68246.8414307, 1201562.16621
