mode: serial False, gpu True
GPU use = True
transTime, feedNetTime, netTime, thread#1, thread#2
15302.1812439, 8308.88748169, 678704.023361, 161142.110825, 696357.965469
14164.2093658, 905.990600586, 674072.980881, 83034.992218, 685338.973999
12881.9942474, 1090.04974365, 658293.962479, 67039.0129089, 674942.970276
13346.9104767, 1183.0329895, 557671.070099, 65123.0812073, 578248.023987
12624.9790192, 875.949859619, 511439.085007, 68586.8263245, 524525.165558
20224.0943909, 1345.15762329, 672127.962112, 77505.8269501, 686120.033264
18383.9797974, 2226.82952881, 672424.077988, 108867.883682, 685625.076294
18412.1131897, 875.949859619, 691656.112671, 108916.99791, 705049.037933
12962.8181458, 856.876373291, 779782.056808, 107146.024704, 793018.102646
13060.092926, 869.035720825, 681422.948837, 73921.918869, 694528.81813
14456.987381, 1664.87693787, 694875.001907, 65502.8820038, 709734.916687
11843.2044983, 1112.93792725, 685149.908066, 60718.0595398, 698729.038239
13098.0014801, 902.891159058, 453406.095505, 66762.9241943, 466593.980789
16052.9613495, 876.903533936, 474282.979965, 64923.0480194, 489200.115204
13032.1979523, 1166.82052612, 425281.047821, 58838.1290436, 443398.952484
12737.9894257, 1099.10964966, 452740.907669, 67977.9052734, 461518.04924
16140.9378052, 1163.00582886, 590515.136719, 73953.8669586, 606866.121292
11843.919754, 1775.97999573, 762149.810791, 60478.925705, 779096.126556
12029.17099, 1023.05412292, 771354.913712, 66389.0838623, 779626.846313
12719.8696136, 857.11479187, 695616.006851, 64327.0015717, 708125.829697
11169.9104309, 845.909118652, 704446.077347, 70578.0982971, 717432.975769
11228.0845642, 1224.99465942, 753352.880478, 69034.0995789, 765222.072601
17404.794693, 882.863998413, 721256.971359, 72802.066803, 733652.830124
12260.1985931, 1271.00944519, 730303.049088, 62056.0646057, 743341.92276
11957.8838348, 1109.83848572, 737683.057785, 67359.9243164, 762650.966644
18422.8420258, 2213.95492554, 693017.00592, 76698.0648041, 704847.097397
11998.8918304, 1008.03375244, 653271.913528, 61440.9446716, 661501.88446
11631.0119629, 890.016555786, 710702.180862, 66987.0376587, 723504.066467
15738.0104065, 1048.80332947, 707175.970078, 68651.9145966, 719994.068146
11518.9552307, 2007.96127319, 698838.949203, 59468.9846039, 713788.032532
12828.1116486, 1021.14677429, 676642.894745, 69289.9227142, 686204.195023
13396.024704, 1052.14118958, 684267.997742, 62806.8447113, 693627.119064
11127.948761, 1307.96432495, 638278.007507, 69289.2074585, 649387.121201
13197.183609, 875.949859619, 748495.817184, 73400.9742737, 760394.81163
21639.8239136, 1382.11250305, 637431.85997, 74207.0674896, 661688.089371
26511.1923218, 9490.01312256, 653549.909592, 119018.07785, 679610.967636
12646.1982727, 1227.85568237, 588600.158691, 111855.03006, 605128.04985
12354.850769, 835.180282593, 595664.978027, 75797.0809937, 610980.033875
13416.0518646, 818.967819214, 691997.051239, 74131.0119629, 707699.06044
23653.0303955, 1246.9291687, 609750.986099, 133364.915848, 626568.79425
11999.8455048, 1214.02740479, 667118.07251, 112405.061722, 693398.952484
18923.997879, 876.903533936, 606856.107712, 69777.9655457, 622252.941132
11946.9165802, 8848.90556335, 627788.066864, 120605.945587, 655488.014221
12542.963028, 828.02772522, 636294.841766, 67044.9733734, 651932.001114
12620.9259033, 1221.17996216, 667029.857635, 76807.975769, 687107.086182
12768.0301666, 1826.04789734, 637551.06926, 101184.844971, 664401.054382
12281.8946838, 823.974609375, 626627.206802, 85753.9176941, 641872.882843
12118.10112, 7873.05831909, 620425.93956, 71537.9714966, 661611.08017
10992.0501709, 1791.95404053, 583615.064621, 85253.0002594, 602805.137634
12367.0101166, 1252.88963318, 579302.072525, 69803.9531708, 596550.941467
12104.0344238, 1220.94154358, 586997.98584, 69616.0793304, 601824.998856
11089.0865326, 1819.13375854, 565546.989441, 78586.101532, 580955.028534
12351.9897461, 815.868377686, 661561.012268, 70941.9250488, 675666.093826
11739.0155792, 820.159912109, 588661.909103, 68956.8519592, 623486.042023
11343.0023193, 2586.12632751, 632089.853287, 68608.045578, 649208.068848
12506.0081482, 1212.83531189, 600728.034973, 70483.9229584, 619781.017303
12303.1139374, 823.020935059, 574958.086014, 64865.1123047, 589368.104935
11818.8858032, 1234.05456543, 599509.000778, 70253.1337738, 615165.948868
12249.9465942, 1245.97549438, 594453.09639, 73682.0697784, 616734.027863
11948.1086731, 2398.96774292, 681364.059448, 64514.1601562, 711269.140244
11957.8838348, 4824.16152954, 734534.978867, 74713.9453888, 765923.023224
13402.9388428, 1825.09422302, 702288.866043, 79164.0281677, 719042.062759
11711.1206055, 822.067260742, 614691.019058, 69867.84935, 629086.971283
12307.1670532, 6991.86325073, 638931.035995, 79956.0546875, 678954.839706
12187.0040894, 831.127166748, 593786.001205, 80364.9425507, 607439.041138
11847.0191956, 1820.08743286, 592633.962631, 72197.9141235, 608460.187912
13545.9899902, 875.949859619, 713276.147842, 81182.0030212, 728145.122528
12050.8670807, 1353.97911072, 655424.118042, 79000.9498596, 683528.900146
12207.9849243, 1823.90213013, 578931.093216, 72158.0982208, 596553.80249
12170.0763702, 828.981399536, 589625.835419, 80381.8702698, 605165.00473
10879.0397644, 823.974609375, 695616.960526, 76164.0071869, 711637.973785
12331.9625854, 1218.08052063, 609586.000443, 69372.8923798, 624997.138977
13057.9471588, 3418.20716858, 707360.982895, 78106.880188, 736040.115356
12005.0907135, 818.967819214, 618351.93634, 77094.7933197, 633092.164993
12362.9570007, 1217.84210205, 612619.161606, 68306.9229126, 627949.953079
12363.1954193, 1818.89533997, 727962.970734, 75726.9859314, 749895.095825
12230.8731079, 1803.15971375, 686287.879944, 84330.0819397, 705343.008041
12058.9733124, 1813.8885498, 690073.013306, 65816.1640167, 708207.130432
12184.1430664, 1904.01077271, 682679.891586, 67573.0705261, 700857.162476
11255.0258636, 802.993774414, 621879.1008, 68110.9428406, 636745.214462
12318.1343079, 1815.79589844, 647054.195404, 63276.052475, 666467.905045
14230.966568, 1270.05577087, 631873.130798, 71393.0130005, 648728.132248
12430.9062958, 829.935073853, 579094.171524, 71580.8868408, 594413.042068
12207.03125, 1223.08731079, 625217.914581, 66594.8390961, 642771.00563
12105.9417725, 2036.80992126, 650001.049042, 69859.9815369, 689705.133438
11497.0207214, 3726.95922852, 574563.026428, 70219.9935913, 591259.002686
12059.9269867, 1829.8625946, 614001.989365, 67161.0832214, 631478.071213
12017.9653168, 1840.82984924, 642400.979996, 70777.1778107, 671648.979187
12037.9924774, 820.875167847, 587804.079056, 71853.8761139, 600952.148438
11506.7958832, 1244.06814575, 642735.004425, 66493.9880371, 661396.980286
11935.9493256, 883.817672729, 660735.13031, 68304.0618896, 675940.036774
12022.0184326, 9506.94084167, 620652.914047, 78795.9098816, 659056.901932
12961.8644714, 1228.80935669, 631679.058075, 70630.0735474, 649128.198624
11933.8035583, 1317.02423096, 650793.075562, 70371.1509705, 680673.122406
13081.7890167, 1817.94166565, 567187.070847, 71351.0513306, 586843.013763
12068.0332184, 798.940658569, 620797.872543, 65208.19664, 636065.95993
12125.0152588, 1357.79380798, 734004.974365, 67795.9918976, 750677.108765
12249.9465942, 1816.03431702, 641252.994537, 67872.0474243, 658752.918243
11914.9684906, 6111.86027527, 675228.118896, 61779.0222168, 699032.068253
12265.920639, 1224.99465942, 603091.001511, 65437.078476, 621391.057968
11350.1548767, 1214.02740479, 640532.016754, 65065.8607483, 667150.974274
14271.9745636, 814.914703369, 621147.871017, 69987.0586395, 635546.922684
13654.9472809, 864.98260498, 605697.870255, 67595.9587097, 633662.939072
12349.8439789, 1240.01502991, 630496.97876, 68564.8918152, 645797.014236
12089.9677277, 926.01776123, 594940.900803, 63951.0154724, 610533.952713
12264.0132904, 818.967819214, 591718.196869, 70060.968399, 606728.076935
12478.1131744, 819.92149353, 577275.037766, 78788.0420685, 591881.990433
11676.0730743, 1484.87091064, 682296.037674, 63677.072525, 699871.063232
12130.022049, 1223.08731079, 592093.94455, 88908.9107513, 607722.997665
12690.0672913, 1210.92796326, 608829.975128, 72236.0610962, 626420.021057
12070.1789856, 1387.11929321, 580418.82515, 67512.9890442, 600488.185883
14417.1714783, 884.056091309, 575454.950333, 93501.0910034, 595593.929291
19747.9724884, 828.981399536, 575917.005539, 102964.878082, 592072.963715
20650.8636475, 1219.03419495, 618270.158768, 138405.08461, 633961.200714
16024.1127014, 11950.0160217, 673413.038254, 138692.140579, 702044.010162
11360.8837128, 1199.96070862, 666028.022766, 76729.0592194, 683352.947235
12426.1379242, 819.92149353, 568631.17218, 74472.9042053, 585593.938828
22482.8720093, 859.975814819, 639965.057373, 139366.865158, 654270.887375
23149.9671936, 1322.98469543, 676774.978638, 142638.921738, 701011.896133
13877.1533966, 1252.17437744, 574630.022049, 94738.0065918, 600559.949875
14196.1574554, 5002.02178955, 635211.94458, 75633.0490112, 663424.968719
13594.865799, 1219.03419495, 606131.792068, 119764.089584, 622826.099396
25102.853775, 889.06288147, 600302.934647, 129307.985306, 616019.010544
19412.0407104, 1214.02740479, 653631.925583, 106597.900391, 673675.060272
15693.1877136, 817.060470581, 712155.103683, 73770.0462341, 725083.827972
24188.9953613, 823.974609375, 668699.026108, 110761.880875, 683254.957199
23636.1026764, 839.948654175, 614432.096481, 120823.860168, 635102.987289
13134.9563599, 808.954238892, 594691.038132, 114265.918732, 609751.939774
13362.1692657, 881.910324097, 773240.089417, 141205.072403, 790958.166122
12094.0208435, 857.11479187, 600841.999054, 125248.193741, 616405.010223
12145.9960938, 2309.0839386, 558844.089508, 64243.7934875, 573227.882385
12202.0244598, 825.881958008, 652620.077133, 62317.1329498, 668053.865433
12437.1051788, 1821.04110718, 616643.90564, 64697.9808807, 633802.890778
12049.1981506, 1236.91558838, 634727.00119, 66052.19841, 654366.016388
10691.8811798, 882.148742676, 670923.948288, 61569.9291229, 695900.917053
12529.8500061, 1222.13363647, 687708.854675, 75963.0203247, 705617.904663
10842.8001404, 2192.97409058, 615405.082703, 70208.0726624, 646877.0504
12307.882309, 1212.83531189, 715352.058411, 63177.8240204, 731446.98143
12686.0141754, 2909.89875793, 629089.11705, 63765.0489807, 652395.963669
11979.1030884, 1235.00823975, 634421.110153, 64514.1601562, 662390.947342
12022.9721069, 1816.03431702, 596950.054169, 61465.9786224, 612751.00708
12307.882309, 1208.06694031, 608135.938644, 63273.9067078, 625693.082809
12881.9942474, 1348.01864624, 659780.979156, 63638.2102966, 686695.098877
12688.8751984, 2650.97618103, 641958.95195, 59384.1075897, 661394.119263
12293.1003571, 806.093215942, 646662.950516, 60494.184494, 662203.073502
12065.8874512, 1724.9584198, 661916.017532, 61264.9917603, 689438.10463
12567.0433044, 863.790512085, 637578.010559, 58410.1676941, 656754.016876
20149.9462128, 828.02772522, 633179.90303, 69365.978241, 651494.026184
11378.0498505, 1323.93836975, 665384.054184, 63256.0253143, 685384.03511
11907.1006775, 2841.94946289, 650146.007538, 59096.0979462, 667430.16243
13281.8222046, 1211.88163757, 608371.019363, 65312.1471405, 624061.107635
12084.9609375, 797.033309937, 602979.898453, 65301.8951416, 618470.907211
11982.9177856, 823.020935059, 584397.792816, 61931.1332703, 598686.933517
12197.0176697, 819.92149353, 598712.205887, 64379.9304962, 611827.135086
12228.012085, 1811.98120117, 578485.012054, 65262.0792389, 597326.040268
12368.2022095, 1205.9211731, 611484.050751, 63107.9673767, 626832.962036
11163.9499664, 818.014144897, 656181.097031, 63589.8113251, 670483.827591
12933.9694977, 1812.93487549, 623408.079147, 66390.9912109, 642184.972763
11172.0561981, 7926.94091797, 649829.149246, 59905.0521851, 680274.009705
12140.9893036, 1899.95765686, 668400.04921, 63082.9334259, 688769.102097
11227.8461456, 1216.88842773, 616060.972214, 63791.0366058, 633080.005646
11956.9301605, 1228.09410095, 686175.823212, 62879.0855408, 701534.986496
12794.0177917, 4251.00326538, 652436.971664, 65147.8767395, 669682.979584
11889.9345398, 976.085662842, 654767.990112, 62831.8786621, 671236.038208
12022.0184326, 958.919525146, 630264.043808, 61066.1506653, 659539.937973
12069.940567, 884.056091309, 592108.011246, 62933.2065582, 609259.128571
12633.8005066, 823.020935059, 595983.028412, 71241.1403656, 613461.971283
11648.8933563, 935.077667236, 675940.990448, 56519.985199, 689848.184586
11614.0842438, 1209.02061462, 688561.916351, 59267.0440674, 704089.87999
11874.1989136, 1210.92796326, 586307.048798, 61944.0078735, 601176.023483
13082.0274353, 813.961029053, 637961.149216, 63040.0180817, 651627.063751
10841.8464661, 822.067260742, 715533.018112, 63952.922821, 738759.994507
13532.8769684, 2496.95777893, 633950.948715, 64839.8399353, 654976.129532
12115.9553528, 834.941864014, 607809.066772, 62250.8525848, 622121.095657
12244.9398041, 1819.84901428, 656182.050705, 64100.9807587, 684272.050858
12182.9509735, 3065.10925293, 558844.089508, 65731.048584, 579011.201859
12693.8819885, 1220.94154358, 600997.924805, 63396.2154388, 615700.006485
12058.0196381, 823.020935059, 573154.9263, 63800.0965118, 588987.112045
12176.990509, 1232.1472168, 628671.884537, 65985.918045, 645694.971085
12196.0639954, 2483.84475708, 633141.040802, 63076.0192871, 671081.066132
12534.8567963, 826.835632324, 583120.107651, 64534.9025726, 599061.012268
10689.0201569, 806.093215942, 513188.838959, 63314.9147034, 526623.010635
12639.0457153, 1821.99478149, 598109.006882, 65493.106842, 619550.943375
14188.0512238, 832.080841064, 640435.934067, 63578.1288147, 675691.843033
13583.8985443, 1256.94274902, 613025.903702, 64955.9497833, 629527.09198
11987.9245758, 3793.00117493, 638293.027878, 60130.1193237, 666388.988495
11976.0036469, 1935.9588623, 600156.068802, 62344.789505, 621552.944183
12331.0089111, 2748.01254272, 588112.11586, 61953.0677795, 605123.996735
11936.9029999, 902.17590332, 688189.983368, 56873.0831146, 706516.981125
11893.9876556, 818.014144897, 581135.034561, 59534.072876, 594764.947891
11933.0883026, 1230.9551239, 680623.054504, 60483.9324951, 695611.000061
11926.1741638, 1412.86849976, 586732.149124, 56659.9369049, 606781.959534
12036.0851288, 1211.16638184, 638895.988464, 60274.8394012, 654101.133347
12077.0931244, 1819.13375854, 668982.982635, 62902.9273987, 695992.231369
11759.0427399, 1312.97111511, 638943.910599, 60190.9160614, 666496.038437
11569.0231323, 838.994979858, 608597.040176, 64025.8789062, 625321.865082
12455.9402466, 2106.18972778, 703495.979309, 74165.1058197, 725267.17186
12848.8540649, 1876.83105469, 639988.183975, 63423.871994, 669300.079346
12696.9814301, 823.974609375, 569621.086121, 63621.9978333, 585307.836533
12542.963028, 826.120376587, 645293.951035, 64952.1350861, 659544.944763
12506.9618225, 3103.97148132, 660005.092621, 62549.1142273, 691374.063492
11981.9641113, 818.967819214, 690638.065338, 63868.9994812, 704941.987991
12279.0336609, 956.058502197, 604113.101959, 65788.0306244, 619858.980179
12000.0839233, 1916.88537598, 652862.071991, 62118.0534363, 684846.162796
12070.8942413, 979.900360107, 606066.942215, 64092.874527, 622794.151306
11391.8781281, 1826.04789734, 629132.986069, 62772.0355988, 657541.036606
11855.840683, 819.92149353, 607915.16304, 62845.9453583, 622834.920883
12250.9002686, 818.967819214, 647582.054138, 64292.9077148, 660893.917084
12812.1376038, 2699.13673401, 627750.873566, 64060.9264374, 646239.995956
12074.9473572, 1232.86247253, 693906.068802, 60142.0402527, 708962.917328
11957.1685791, 883.817672729, 569463.968277, 62741.9948578, 587893.96286
