mode: serial True, gpu False
GPU use = False
transTime, feedNetTime, netTime
11128.9024353, 3512.14408875, 1443449.97406
14120.8171844, 868.082046509, 1254678.01094
22133.1119537, 828.981399536, 1247169.97147
11396.8849182, 807.046890259, 1246890.78331
12058.9733124, 897.169113159, 1241636.9915
11395.9312439, 800.132751465, 1236594.91539
11382.1029663, 792.026519775, 1238757.84874
11107.9216003, 808.000564575, 1246756.79207
11469.1257477, 801.086425781, 1237568.85529
11543.0355072, 839.948654175, 1235709.19037
12145.0424194, 797.986984253, 1265314.81743
22252.7980804, 898.122787476, 1242117.88177
12131.9293976, 806.093215942, 1239053.01094
11548.9959717, 788.21182251, 1249456.88248
11669.8741913, 808.000564575, 1237126.82724
11156.0821533, 802.993774414, 1239058.01773
11737.1082306, 798.940658569, 1237152.09961
11322.0214844, 779.867172241, 1238299.13139
12190.1035309, 798.940658569, 1233495.9507
12808.0844879, 784.873962402, 1226729.15459
12001.0375977, 780.10559082, 1243609.90524
12737.9894257, 814.914703369, 1224366.18805
11885.881424, 793.933868408, 1225790.97748
11284.1129303, 798.940658569, 1243556.97632
11459.8274231, 741.958618164, 1216263.0558
12207.03125, 715.017318726, 1210742.95044
11938.0950928, 848.054885864, 1206979.99001
11630.0582886, 779.867172241, 1225825.07133
11582.1361542, 789.880752563, 1208043.09845
16844.0341949, 988.960266113, 1205710.88791
11628.1509399, 802.993774414, 1207777.02332
11186.1228943, 784.873962402, 1218448.16208
12503.862381, 803.94744873, 1212774.99199
11418.1041718, 900.983810425, 1205012.08305
11604.0706635, 806.093215942, 1213449.00131
11324.8825073, 802.993774414, 1210451.1261
12176.990509, 798.225402832, 1207995.89157
19557.9528809, 868.082046509, 1204957.96204
12399.1966248, 808.000564575, 1220738.88779
11405.9448242, 814.914703369, 1206620.93163
11480.0930023, 794.887542725, 1209217.07153
19665.9564972, 832.796096802, 1209475.04044
11890.1729584, 802.993774414, 1205846.07124
19484.9967957, 856.161117554, 1203994.9894
11667.9668427, 779.867172241, 1202039.00337
11126.9950867, 790.83442688, 1208886.14655
11598.110199, 796.794891357, 1203934.19266
12135.9825134, 808.954238892, 1198122.97821
12179.851532, 887.870788574, 1208878.04031
11198.9974976, 822.067260742, 1191534.99603
11765.9568787, 799.894332886, 1200500.96512
12606.1439514, 813.007354736, 1195709.94377
11770.9636688, 795.841217041, 1207682.13272
11527.0614624, 855.922698975, 1197215.08026
12049.1981506, 808.954238892, 1196864.12811
12206.0775757, 796.07963562, 1195611.95374
11599.0638733, 782.96661377, 1209739.92348
12490.0341034, 807.046890259, 1197168.82706
11868.0000305, 798.940658569, 1196154.11758
11085.0334167, 819.92149353, 1198225.97504
15414.9532318, 730.037689209, 1201936.00655
14117.0024872, 789.880752563, 1194236.99379
12052.0591736, 800.132751465, 1200456.85768
11088.1328583, 813.961029053, 1208437.20436
11967.8974152, 806.093215942, 1196364.87961
16490.9362793, 2400.15983582, 1185799.83711
11490.1065826, 817.775726318, 1195510.149
12122.1542358, 782.96661377, 1207140.92255
18965.0058746, 820.875167847, 1186703.92036
11425.9719849, 809.192657471, 1197525.97809
11539.9360657, 807.046890259, 1196212.0533
23044.1093445, 764.846801758, 1197870.0161
12012.9585266, 792.980194092, 1191534.04236
10868.0725098, 784.873962402, 1197827.10075
12172.9373932, 793.933868408, 1204312.08611
10879.9934387, 789.880752563, 1193662.1666
11523.0083466, 808.000564575, 1196133.13675
11299.8485565, 989.91394043, 1198638.20076
12456.8939209, 964.879989624, 1207504.03404
11268.8541412, 785.112380981, 1197078.94325
15237.0929718, 859.022140503, 1181886.91139
10684.967041, 779.867172241, 1194380.04494
12279.0336609, 732.898712158, 1203750.13351
10663.9862061, 791.072845459, 1190835.95276
12555.1223755, 823.020935059, 1197396.03996
15376.0910034, 798.940658569, 1180790.18593
11470.079422, 803.94744873, 1203413.00964
11311.0542297, 792.026519775, 1191878.08037
11475.0862122, 803.94744873, 1190356.01616
