mode: serial True, gpu True
GPU use = True
transTime, feedNetTime, netTime
12435.9130859, 5763.05389404, 758389.949799
12089.0140533, 2736.09161377, 625899.076462
12441.1582947, 2700.09040833, 589124.917984
13378.1433105, 3069.16236877, 616373.77739
14304.8763275, 7570.02830505, 632004.022598
18337.9650116, 2890.11001587, 681501.865387
11615.9915924, 2705.09719849, 628976.821899
10503.0536652, 2870.08285522, 633652.925491
11824.8462677, 2705.81245422, 613905.191422
12364.1490936, 2707.95822144, 603204.965591
12377.9773712, 2723.93226624, 622132.062912
10799.1695404, 2763.03291321, 608166.93306
11544.9428558, 2719.16389465, 644474.983215
11586.9045258, 2852.91671753, 642129.182816
11062.8604889, 2717.97180176, 605416.059494
12493.8488007, 2706.0508728, 698520.898819
11253.8337708, 2748.01254272, 604772.090912
10928.8692474, 2731.08482361, 627479.076385
10771.0361481, 2697.94464111, 646927.118301
10801.076889, 2695.7988739, 647262.096405
18547.0581055, 2893.92471313, 581490.9935
11736.1545563, 2688.88473511, 594784.021378
10632.0381165, 2732.03849792, 705662.965775
17313.00354, 2811.90872192, 636962.175369
11398.0770111, 2707.95822144, 701567.88826
10686.1591339, 2715.11077881, 700700.998306
10560.9893799, 2699.13673401, 594089.984894
10556.936264, 2864.83764648, 623167.037964
10691.1659241, 2696.9909668, 629267.930984
11015.8920288, 2707.95822144, 629769.086838
11063.0989075, 2732.99217224, 608873.844147
10788.9175415, 2708.91189575, 636615.037918
10947.9427338, 2832.88955688, 666091.20369
10663.0325317, 2632.14111328, 592092.990875
10511.8751526, 2869.84443665, 607805.967331
10979.8908234, 2880.09643555, 627072.811127
10818.0046082, 2710.10398865, 693440.914154
11465.0726318, 2727.03170776, 658707.857132
19836.9026184, 2739.90631104, 566522.121429
10644.197464, 2732.99217224, 633354.902267
10645.1511383, 2737.9989624, 693015.098572
10693.0732727, 2763.98658752, 639972.925186
13849.0200043, 2888.91792297, 661293.029785
11980.0567627, 2875.08964539, 673073.05336
12552.9766083, 2763.03291321, 602329.969406
24677.0381927, 2779.96063232, 642484.903336
10730.0281525, 2768.99337769, 763648.033142
19234.8957062, 3170.01342773, 646516.084671
11039.018631, 3136.1579895, 597323.894501
13098.9551544, 2744.9131012, 636373.996735
11597.1565247, 2752.06565857, 663706.064224
12055.1586151, 5918.97964478, 624022.960663
15961.1701965, 7236.95755005, 690926.074982
11058.0921173, 2702.95143127, 614942.073822
10733.8428497, 2736.09161377, 639075.040817
11915.9221649, 2642.1546936, 703155.994415
10775.0892639, 2761.84082031, 619373.083115
11791.9445038, 2799.98779297, 592916.01181
12623.0716705, 2864.12239075, 614893.913269
12268.0664062, 2720.11756897, 640471.935272
11081.9339752, 2750.87356567, 626598.119736
12158.870697, 2713.91868591, 617631.912231
10749.8168945, 2727.98538208, 627578.020096
11951.9233704, 2727.03170776, 664345.979691
12073.9936829, 2720.11756897, 651458.024979
12196.0639954, 2766.13235474, 670149.803162
11574.0299225, 2673.86436462, 618822.097778
10708.0936432, 2758.97979736, 615344.047546
10720.0145721, 2757.07244873, 638910.055161
12024.8794556, 2731.08482361, 578933.954239
12084.0072632, 2744.9131012, 611530.065536
10735.9886169, 2737.9989624, 620525.836945
12218.952179, 2740.14472961, 646059.989929
10663.0325317, 2847.90992737, 628621.101379
10619.8787689, 2856.96983337, 604951.858521
10637.0449066, 2734.89952087, 601632.118225
11919.0216064, 2748.01254272, 618738.889694
11426.9256592, 2785.9210968, 608365.058899
11513.9484406, 2740.85998535, 603345.155716
10730.9818268, 2752.06565857, 633606.910706
11432.8861237, 2892.0173645, 626282.930374
12346.0292816, 2745.15151978, 614205.83725
10753.1547546, 2777.09960938, 643001.794815
11236.9060516, 2731.08482361, 615815.877914
11942.8634644, 2753.9730072, 607263.088226
12408.0181122, 2777.09960938, 660628.080368
11533.0219269, 2753.9730072, 657845.020294
19363.1649017, 2764.94026184, 631013.154984
11867.0463562, 2755.88035583, 669958.114624
12186.050415, 2855.06248474, 669940.948486
10882.8544617, 3006.93511963, 646796.941757
11128.9024353, 2783.06007385, 661073.923111
11203.0506134, 2752.06565857, 708460.8078
10784.1491699, 2799.03411865, 693567.991257
11211.1568451, 2739.90631104, 612232.208252
11111.0210419, 2748.01254272, 601207.017899
11513.9484406, 2753.01933289, 648111.820221
10820.1503754, 2748.01254272, 619266.986847
10749.1016388, 2749.91989136, 625497.102737
10972.9766846, 2848.14834595, 741237.878799
10725.9750366, 2758.02612305, 622721.910477
11146.7838287, 2763.03291321, 618201.01738
12535.0952148, 2842.18788147, 672994.852066
10716.9151306, 2758.97979736, 604634.046555
10662.0788574, 2854.10881042, 691097.974777
12892.0078278, 2767.80128479, 634075.164795
12326.002121, 2778.05328369, 631664.037704
11117.9351807, 2882.9574585, 602001.905441
11438.8465881, 2771.85440063, 597068.071365
11849.8802185, 2768.99337769, 637548.923492
12710.8097076, 2758.97979736, 593116.998672
12202.9781342, 2841.94946289, 600430.965424
11001.1100769, 2682.92427063, 691501.140594
10648.0121613, 2883.91113281, 670216.083527
10922.1935272, 2851.96304321, 632701.873779
12449.0261078, 2811.19346619, 608814.001083
10633.9454651, 2770.90072632, 588845.014572
12446.8803406, 2788.06686401, 645494.937897
11152.9827118, 2762.07923889, 608603.954315
11067.1520233, 2763.98658752, 647272.109985
10768.1751251, 2784.01374817, 629244.089127
11004.9247742, 2761.84082031, 618661.165237
10778.9039612, 2784.96742249, 623425.960541
12049.9134064, 2686.97738647, 623210.906982
11987.9245758, 2785.9210968, 610777.139664
11263.1320953, 2781.86798096, 611681.222916
11610.0311279, 2760.17189026, 609282.970428
10642.0516968, 2922.05810547, 631111.860275
10630.8460236, 2758.97979736, 654036.045074
18648.8628387, 2797.84202576, 661761.99913
10787.9638672, 3000.02098083, 600172.042847
20278.2154083, 2749.91989136, 679785.966873
11944.0555573, 2749.20463562, 585450.88768
10967.9698944, 2936.84005737, 637009.143829
10788.9175415, 2702.95143127, 630813.837051
11131.0482025, 2799.03411865, 594354.152679
10801.076889, 2779.00695801, 611764.907837
19016.0274506, 2742.05207825, 645692.825317
12217.9985046, 2753.01933289, 664952.039719
12337.9230499, 2844.0952301, 679882.049561
18292.9039001, 2761.12556458, 645931.959152
10636.0912323, 2858.87718201, 635877.132416
12356.0428619, 2851.96304321, 611597.061157
11826.9920349, 2779.96063232, 644526.958466
11514.9021149, 2701.04408264, 613776.922226
12385.1299286, 2866.02973938, 639049.053192
12501.001358, 2749.20463562, 480177.879333
21118.8793182, 4189.96810913, 653861.045837
11008.97789, 2752.06565857, 650918.960571
10663.9862061, 2866.9834137, 614987.850189
11060.9531403, 2758.02612305, 631514.072418
12681.9610596, 2763.98658752, 615526.199341
10769.1287994, 2758.97979736, 633284.091949
11478.1856537, 2751.82723999, 613959.07402
12043.9529419, 2758.97979736, 631958.007812
10884.0465546, 2902.98461914, 616194.009781
10665.8935547, 2889.87159729, 589442.014694
14688.0149841, 2763.98658752, 635747.19429
12577.0568848, 2874.13597107, 668110.847473
12486.9346619, 2767.08602905, 686356.067657
10846.1380005, 2773.04649353, 628943.920135
10779.8576355, 2768.99337769, 674823.045731
11064.7678375, 2881.05010986, 563114.881516
18746.137619, 2753.9730072, 766584.157944
11151.0753632, 2761.84082031, 610687.017441
10973.2151031, 2886.05690002, 636310.815811
12335.062027, 2748.96621704, 640069.961548
10787.0101929, 2799.03411865, 611763.000488
10998.9643097, 2759.93347168, 608430.147171
12225.8663177, 2755.88035583, 648730.993271
11693.9544678, 2777.09960938, 636975.049973
12075.1857758, 2869.84443665, 593791.007996
12166.0232544, 2749.91989136, 631218.194962
11569.9768066, 2772.09281921, 625448.942184
12904.882431, 2755.1651001, 645039.796829
11116.9815063, 2772.09281921, 646179.914474
10792.016983, 2672.91069031, 582364.082336
30313.9686584, 3180.02700806, 664396.047592
11261.9400024, 2757.07244873, 581949.949265
12943.983078, 2958.05931091, 649856.805801
12078.0467987, 2753.9730072, 620573.997498
10903.8352966, 2750.15830994, 639726.877213
11936.1877441, 2777.09960938, 691304.922104
12757.062912, 2771.85440063, 649518.966675
26005.0296783, 5197.04818726, 639971.971512
11343.0023193, 2902.98461914, 563326.120377
10729.0744781, 2906.79931641, 662517.07077
18864.8700714, 2815.96183777, 584053.993225
11971.950531, 2819.0612793, 610119.819641
11213.0641937, 2788.78211975, 622178.077698
12100.9349823, 2737.9989624, 646628.141403
10995.8648682, 2788.06686401, 598407.98378
19757.9860687, 2971.17233276, 674818.992615
10843.038559, 2784.01374817, 574506.998062
17350.9120941, 4817.00897217, 664746.999741
10648.9658356, 2893.2094574, 654042.959213
10797.9774475, 2804.99458313, 675119.161606
12183.9046478, 2777.81486511, 636409.99794
11527.0614624, 2669.09599304, 660048.961639
11261.9400024, 2872.94387817, 606914.043427
11090.0402069, 2866.02973938, 633697.986603
11243.8201904, 2781.15272522, 639569.997787
11790.0371552, 2743.95942688, 598870.992661
12497.9019165, 2779.00695801, 619493.961334
12506.0081482, 2751.11198425, 620032.787323
10869.9798584, 2806.90193176, 621905.088425
11060.9531403, 2778.05328369, 607822.89505
19359.8270416, 2772.09281921, 583034.992218
10743.1411743, 2753.01933289, 590075.969696
10999.2027283, 2704.85877991, 632733.106613
12372.0169067, 2732.99217224, 615936.994553
11996.9844818, 2767.08602905, 633826.971054
12542.963028, 2774.95384216, 683043.956757
11055.9463501, 3051.99623108, 674286.12709
10677.8144836, 3015.99502563, 625040.054321
11986.0172272, 2776.14593506, 649574.995041
12213.9453888, 2747.05886841, 589481.830597
18500.0896454, 2771.85440063, 679035.186768
11065.0062561, 2737.04528809, 651624.917984
10725.0213623, 2882.00378418, 678062.915802
11096.9543457, 2759.93347168, 615144.014359
30785.0837708, 3015.99502563, 616740.942001
20124.912262, 2945.89996338, 680921.077728
10778.1887054, 2816.91551208, 673053.026199
12548.2082367, 2911.09085083, 587487.93602
11029.958725, 2771.1391449, 666338.920593
10684.967041, 2749.91989136, 626669.168472
11131.0482025, 2769.947052, 661494.016647
10725.0213623, 3139.97268677, 698639.154434
11425.9719849, 2763.03291321, 592226.982117
11132.0018768, 2757.07244873, 628526.926041
12056.1122894, 2795.93467712, 569364.070892
10684.0133667, 2908.94508362, 571502.923965
18514.1563416, 2886.05690002, 620337.00943
13854.9804688, 6730.07965088, 593055.963516
10825.1571655, 3036.9758606, 610320.091248
11556.1485291, 2753.01933289, 671944.856644
12509.8228455, 3157.13882446, 667626.857758
11430.0251007, 2958.05931091, 644405.126572
12273.0731964, 3165.00663757, 666401.147842
11538.9823914, 2746.10519409, 579704.999924
12728.9295197, 2755.1651001, 617574.930191
12766.8380737, 2679.10957336, 626774.072647
11682.9872131, 2795.93467712, 624766.111374
11160.8505249, 2757.07244873, 611205.101013
10688.0664825, 2896.07048035, 630116.939545
11095.0469971, 2751.11198425, 618423.938751
11635.0650787, 2794.98100281, 610400.915146
12223.9589691, 2763.03291321, 628345.966339
11030.1971436, 2761.12556458, 677119.016647
16575.0980377, 6106.13822937, 574657.917023
10789.1559601, 2772.80807495, 585714.101791
19635.2005005, 2768.99337769, 678473.949432
10789.1559601, 2801.8951416, 618914.12735
10819.196701, 2779.96063232, 604445.934296
11136.0549927, 2766.84761047, 638772.964478
11465.0726318, 2776.8611908, 664337.158203
11573.0762482, 2773.04649353, 611282.110214
12018.9189911, 2774.00016785, 628271.818161
11063.0989075, 2770.90072632, 585855.007172
19007.9212189, 2772.80807495, 645048.141479
12525.0816345, 2779.96063232, 688939.094543
10639.9059296, 2750.87356567, 717874.05014
10970.1156616, 2763.98658752, 692593.097687
10671.1387634, 2747.05886841, 624292.135239
11202.0969391, 2766.84761047, 611640.930176
10812.0441437, 2769.23179626, 648391.962051
10767.2214508, 2795.93467712, 660973.072052
11566.8773651, 2802.84881592, 662952.184677
12476.9210815, 2759.93347168, 620737.075806
11404.0374756, 2762.79449463, 663298.130035
11179.9240112, 2793.07365417, 609097.003937
11247.1580505, 2784.01374817, 631338.834763
10830.8792114, 2774.95384216, 569622.993469
11219.0246582, 2758.02612305, 623996.973038
11497.9743958, 2794.98100281, 631874.084473
11083.1260681, 2948.04573059, 614259.958267
12467.8611755, 2771.85440063, 642951.011658
12486.9346619, 2757.07244873, 643208.98056
11814.1174316, 2804.04090881, 614537.000656
10685.2054596, 2866.02973938, 608206.987381
10830.8792114, 2786.87477112, 628035.068512
12674.8085022, 2875.08964539, 631669.044495
13020.0386047, 2779.00695801, 646026.134491
11411.190033, 2771.85440063, 639919.996262
10651.1116028, 2773.04649353, 682595.014572
12503.862381, 2933.02536011, 611438.989639
13082.0274353, 2782.10639954, 525527.000427
12824.0585327, 2885.10322571, 639681.816101
11384.0103149, 2789.02053833, 628766.059875
12921.0948944, 2758.02612305, 659368.991852
12930.1548004, 2812.86239624, 753007.173538
14033.0791473, 2946.13838196, 713112.831116
16471.862793, 7174.96871948, 674533.128738
12480.9741974, 2755.88035583, 626481.056213
12744.9035645, 2849.817276, 635256.052017
11783.8382721, 2898.9315033, 596251.010895
11185.16922, 2916.09764099, 627618.074417
11512.0410919, 3244.87686157, 699064.970016
14170.1698303, 2948.04573059, 609042.882919
----------------

