Detection method: Serial
Clock = 572368319.000000, Chrono = 630752219, TimeR = 631.000000
Clock = 572368325.000000, Chrono = 630752222, TimeR = 631.000000

GPU use = 0
clockPerSec,1000000
FPS=0.873563
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
12263, 733, 1312435, 12131, 737, 1195170
11368, 16, 1206271, 11261, 20, 1087748
17990, 59, 1203642, 12212, 64, 1086043
11577, 49, 1207714, 11447, 53, 1086042
11490, 49, 1205614, 11469, 52, 1087475
11645, 16, 1206842, 11510, 20, 1085495
10491, 49, 1214288, 10394, 53, 1088235
18984, 48, 1202135, 10843, 52, 1085186
10704, 49, 1202903, 10603, 53, 1086776
16008, 44, 1201193, 11829, 27, 1084054
11048, 50, 1219000, 10949, 54, 1086150
12022, 48, 1203810, 11848, 52, 1087602
11537, 48, 1203933, 11387, 52, 1085716
11284, 16, 1206980, 11169, 20, 1088555
18236, 16, 1214225, 12036, 21, 1084869
11897, 16, 1207360, 11796, 21, 1086315
11788, 17, 1212610, 11660, 22, 1088425
20056, 16, 1208885, 11907, 21, 1087941
11900, 16, 1220318, 11793, 21, 1085452
11900, 17, 1214072, 11778, 22, 1088054
12149, 16, 1208610, 11926, 18, 1086343
11891, 15, 1213652, 11791, 19, 1085103
10778, 16, 1215680, 10725, 21, 1087668
11521, 16, 1228041, 11439, 19, 1089284
11880, 18, 1211082, 11581, 22, 1084721
11381, 16, 1222988, 11378, 20, 1085889
11433, 16, 1219777, 11404, 20, 1087293
11737, 16, 1214838, 11466, 20, 1087856
20592, 17, 1217619, 11490, 21, 1085972
11860, 16, 1225336, 11748, 21, 1086064
11771, 17, 1225019, 11769, 21, 1088893
11600, 16, 1220040, 11336, 20, 1087608
20470, 16, 1231962, 11213, 20, 1085875
15273, 16, 1228020, 11888, 20, 1085576
11329, 17, 1217740, 10904, 20, 1085268
11361, 17, 1223966, 11358, 21, 1088649
11523, 17, 1226571, 11372, 20, 1087920
12492, 16, 1215426, 12068, 20, 1087024
11983, 17, 1212002, 11636, 20, 1085397
11888, 16, 1212795, 11788, 21, 1088173
12225, 16, 1217769, 11828, 21, 1088748
12421, 17, 1209054, 11722, 21, 1086720
12076, 16, 1213748, 11814, 21, 1088676
20207, 17, 1221175, 11591, 20, 1086710
