GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=2.52396
Clock = 12720863.000000, Chrono = 14851131, TimeR = 15.000000
Clock = 39620244.000000, Chrono = 76968120, TimeR = 77.000000

transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
9982, 9869, 231076, 302606, 747434, 1132465
18580, 18104, 2257, 4516, 794520, 1041001
10114, 20168, 2242, 4486, 765932, 1087913
11366, 20542, 2408, 4822, 726574, 1043907
10830, 10821, 2767, 5389, 826449, 1051597
14438, 21362, 2235, 4472, 806321, 1033276
13302, 19461, 2267, 4538, 718244, 1031172
11601, 19217, 2343, 4582, 462373, 495903
12493, 21118, 5154, 4371, 663402, 326462
11877, 18399, 8837, 8193, 945895, 935976
12792, 17915, 2664, 2597, 617833, 294786
12168, 20847, 3889, 3891, 737533, 326798
11356, 18726, 8713, 8514, 891234, 321321
11040, 18330, 3913, 3915, 862144, 315439
11173, 18536, 5265, 5042, 620080, 309265
10725, 14056, 2730, 2710, 722119, 325049
11282, 19054, 4448, 4381, 745449, 314865
10045, 10035, 3710, 3685, 752636, 321514
10058, 10171, 3868, 3871, 805587, 365596
10363, 10354, 8667, 8543, 798997, 389263
9874, 9864, 8963, 8854, 785875, 323202
26988, 23742, 4090, 4055, 746937, 336459
11335, 15821, 5414, 5415, 744850, 324738
12317, 17790, 8883, 8818, 853553, 328180
11303, 18720, 3877, 3878, 686252, 328738
11558, 19079, 4911, 4734, 779926, 356605
12366, 20874, 4859, 4619, 848043, 321400
12359, 20397, 4703, 4533, 755253, 327313
11315, 18697, 5571, 5242, 709232, 335339
11310, 17719, 2741, 2743, 738479, 334725
10148, 10931, 7942, 7456, 866319, 349292
10999, 10989, 8939, 8845, 731751, 324113
10822, 10813, 8805, 8306, 786120, 328157
12120, 15178, 4788, 4716, 667384, 319405
11941, 19864, 7024, 6366, 953435, 381798
11572, 19200, 3974, 3976, 698079, 332949
11752, 19288, 7442, 7137, 671483, 309662
10904, 16438, 4765, 4767, 852085, 357097
11861, 17117, 4991, 4914, 706290, 315467
10936, 17984, 2766, 2753, 807703, 363423
12575, 20630, 7134, 6760, 878333, 343212
11677, 19391, 4632, 4540, 590472, 300396
10560, 13028, 9124, 8584, 875543, 342700
11134, 11124, 7404, 6928, 860949, 333378
10687, 10677, 9006, 8895, 856350, 311769
11378, 18745, 3729, 3708, 713512, 315810
11982, 17681, 3912, 3913, 858267, 323988
11602, 19201, 4751, 4682, 670126, 319356
11835, 19552, 4017, 3758, 858933, 334603
12121, 15224, 5168, 5095, 812704, 347143
11979, 19831, 7526, 6746, 847559, 323181
10918, 18038, 3845, 3846, 769876, 336215
12397, 23123, 7097, 6665, 667425, 298250
12528, 16601, 3022, 3005, 819402, 318785
10793, 10935, 2766, 2751, 865577, 358150
11105, 11097, 4599, 4530, 639352, 299531
10498, 10067, 2773, 2755, 610065, 307718
24346, 21951, 5052, 4977, 825020, 365542
11341, 18707, 4108, 3991, 817537, 363599
12077, 19885, 5177, 5101, 777424, 337106
11700, 19174, 8881, 8547, 856184, 383172
11994, 19920, 5203, 4995, 690332, 312958
11321, 18961, 3060, 3040, 878418, 313416
11033, 11023, 3474, 3371, 672057, 321281
10563, 10531, 9056, 8702, 842011, 340202
11107, 11095, 7786, 7268, 873782, 315094
11061, 11051, 8720, 8533, 890561, 329653
17568, 15968, 3893, 3894, 733345, 315942
11858, 17237, 7864, 7362, 840176, 346430
11361, 18782, 9019, 8735, 876933, 318972
12613, 20834, 7484, 7007, 807446, 345896
10606, 11645, 3677, 3655, 647455, 325230
11767, 19488, 4219, 4094, 855402, 326618
10995, 18235, 4416, 4246, 735623, 317017
12037, 14761, 9577, 8932, 846790, 326572
11637, 12418, 3942, 3943, 850315, 328436
10657, 10648, 3958, 3930, 744941, 344291
10379, 10370, 4495, 4381, 684317, 303538
11997, 18049, 5327, 5248, 751943, 322079
11827, 19493, 4908, 4779, 709332, 343075
12172, 20351, 3917, 3918, 865467, 327308
12137, 16769, 8793, 8569, 682942, 323126
11546, 18980, 4124, 4067, 749759, 335485
11734, 19385, 4959, 4764, 782135, 328387
11360, 18881, 2877, 2860, 706064, 313769
11378, 12144, 4730, 4440, 796302, 345289
11286, 11797, 4647, 4433, 678943, 324903
10847, 10838, 3952, 3954, 703106, 333248
12236, 20265, 9061, 8693, 749055, 335309
12751, 17628, 4198, 4139, 656749, 313065
11293, 10900, 8693, 7675, 717764, 327922
11311, 10863, 4461, 4394, 721191, 321480
11247, 10686, 4440, 4373, 674498, 320191
11243, 10019, 3901, 3798, 832791, 305793
11073, 10291, 4495, 2243, 655007, 325832
11305, 18454, 5479, 5481, 674139, 305725
11392, 18867, 2604, 2589, 733626, 261640
11530, 19036, 3071, 3052, 621026, 255729
11242, 18641, 2884, 2865, 493510, 258217
11298, 18682, 3829, 3628, 746699, 341846
GPU use = 0
clockPerSec,1000000
FPS=0.862804
Clock = 11708024.000000, Chrono = 6557528, TimeR = 7.000000
Clock = 115901226.000000, Chrono = 122579074, TimeR = 123.000000

transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
11726, 11572, 1516, 1518, 1532245, 2758325
10228, 10080, 1218, 2445, 1347673, 2482335
9540, 9428, 1501, 2416, 1353362, 2483676
19585, 19446, 882, 1766, 1339719, 2470346
12622, 25043, 850, 1705, 1273265, 1783702
11235, 20805, 797, 799, 1235910, 1090626
13452, 26566, 794, 795, 1239297, 1088141
11302, 22405, 862, 864, 1230365, 1088812
12817, 24939, 787, 789, 1243241, 1091494
11556, 23063, 779, 781, 1226959, 1089373
11107, 17426, 850, 851, 1233169, 1088959
11326, 21651, 798, 799, 1228286, 1089860
11051, 11948, 791, 793, 1229223, 1091311
11777, 23347, 796, 798, 1247177, 1088882
10785, 17534, 851, 852, 1228345, 1089261
10616, 21021, 875, 802, 1227183, 1090928
10647, 21244, 790, 792, 1230470, 1090540
10831, 21463, 827, 804, 1242563, 1088878
12614, 24553, 835, 837, 1225708, 1088952
11893, 17672, 799, 801, 1225809, 1090675
11361, 22208, 777, 778, 1224717, 1091341
11381, 14702, 782, 784, 1215265, 1088210
11064, 21996, 773, 775, 1240622, 1089267
11213, 21676, 791, 792, 1222551, 1090191
10077, 20002, 775, 777, 1225345, 1091628
10057, 19607, 792, 794, 1224316, 1091051
10533, 20535, 788, 791, 1232884, 1089434
10571, 20981, 864, 866, 1227930, 1089167
11555, 12296, 792, 794, 1216371, 1089373
12828, 25232, 798, 799, 1217638, 1090054
14556, 28045, 801, 803, 1223670, 1092273
10625, 21186, 834, 787, 1225541, 1089639
11508, 18784, 876, 798, 1213894, 1089182
10562, 20989, 785, 787, 1231293, 1090040
11835, 23389, 853, 855, 1212106, 1089468
11836, 13421, 769, 772, 1225235, 1089640
13223, 23455, 801, 803, 1213452, 1090739
10451, 20665, 791, 793, 1213101, 1091124
11310, 22391, 795, 797, 1215565, 1090842
10337, 20655, 799, 800, 1210494, 1090272
11995, 13967, 785, 788, 1228353, 1090040
12179, 22558, 781, 784, 1229849, 1090540
13476, 24481, 822, 825, 1208516, 1087705
10811, 21311, 835, 837, 1214251, 1088866
11717, 23414, 866, 797, 1212170, 1090397
11427, 22656, 781, 783, 1226029, 1091073
10898, 21653, 788, 790, 1213146, 1091293
11301, 12059, 773, 775, 1223009, 1092908
