mode: serial False, gpu True
GPU use = True
transTime, feedNetTime, netTime
14286.9949341, 7324.93400574, 662801.980972
19748.210907, 859.975814819, 665740.013123
15201.0917664, 936.985015869, 690417.051315
14037.1322632, 857.11479187, 717152.833939
16474.0085602, 1347.06497192, 664823.055267
12511.9686127, 885.963439941, 653501.987457
13900.0415802, 900.983810425, 636891.126633
13961.7919922, 1229.04777527, 650322.914124
14437.9138947, 1914.97802734, 614115.953445
13329.0290833, 2254.96292114, 655559.062958
----------------

mode: serial False, gpu True
GPU use = True
transTime, feedNetTime, netTime
14224.0524292, 7415.77148438, 715029.001236
12929.9163818, 845.909118652, 593485.116959
13961.0767365, 832.796096802, 580379.009247
13725.0423431, 1337.0513916, 688540.935516
13967.0372009, 1300.09651184, 568730.831146
13266.0865784, 849.962234497, 608633.995056
12950.1819611, 1312.97111511, 591828.107834
12706.0413361, 869.989395142, 569892.883301
13672.1134186, 1256.94274902, 585485.935211
13978.9581299, 2015.11383057, 623548.984528
----------------

mode: serial False, gpu True
GPU use = True
transTime, feedNetTime, netTime
24804.1152954, 7990.83709717, 887037.992477
13595.1042175, 1298.90441895, 718774.080276
14322.9961395, 1260.04219055, 735827.922821
18818.1400299, 2485.99052429, 723747.014999
11729.0019989, 901.937484741, 745592.11731
13855.9341431, 912.90473938, 668225.049973
12259.0065002, 911.951065063, 696383.953094
12988.0905151, 3177.88124084, 667174.100876
12912.0349884, 1253.8433075, 792096.138
13791.7995453, 921.964645386, 639962.911606
13127.0885468, 854.969024658, 518178.939819
12930.1548004, 1070.97625732, 622069.835663
13021.9459534, 8029.93774414, 640491.962433
14063.835144, 854.015350342, 641184.806824
12912.9886627, 849.962234497, 638070.106506
14182.0907593, 1331.09092712, 618010.997772
12277.841568, 4940.9866333, 600614.070892
18301.9638062, 1168.96629333, 610322.952271
17926.9313812, 850.915908813, 571759.939194
28165.102005, 1518.01109314, 644145.965576
11897.0870972, 850.915908813, 558999.061584
11528.968811, 859.022140503, 530725.002289
12706.0413361, 1343.01185608, 659901.857376
11410.9516144, 2034.18731689, 670562.028885
13138.0558014, 1307.96432495, 580952.882767
12401.1039734, 824.928283691, 583917.140961
12193.9182281, 1344.91920471, 674165.010452
12154.1023254, 1113.89160156, 666307.210922
12831.9263458, 859.022140503, 607149.124146
12413.0249023, 850.915908813, 667706.9664
13000.0114441, 840.187072754, 619700.908661
12264.9669647, 855.922698975, 615936.994553
12346.0292816, 7384.06181335, 683787.822723
12012.0048523, 2562.04605103, 613482.952118
12182.9509735, 1834.86938477, 601331.949234
12239.9330139, 848.054885864, 658367.872238
12197.0176697, 1325.13046265, 620476.007462
12322.9026794, 874.042510986, 627061.843872
12644.0525055, 1310.8253479, 619486.093521
11883.9740753, 842.094421387, 599552.869797
11443.1381226, 1328.94515991, 612084.150314
14032.8407288, 1339.91241455, 682547.092438
12248.9929199, 1425.02784729, 720996.856689
12521.0285187, 1304.14962769, 615373.849869
12569.9043274, 1032.11402893, 671907.901764
11867.0463562, 890.970230103, 640789.985657
12107.8491211, 873.08883667, 683089.017868
12408.0181122, 7792.94967651, 589671.134949
12370.1095581, 6462.81242371, 663978.099823
10935.0681305, 869.989395142, 460857.152939
11474.8477936, 1115.08369446, 571697.950363
12501.9550323, 888.109207153, 629239.082336
11981.010437, 7615.0894165, 647416.830063
12295.0077057, 1703.02391052, 594605.922699
12198.2097626, 6593.94264221, 621015.071869
11924.0283966, 2029.89578247, 637637.138367
13887.1669769, 1342.05818176, 569164.037704
12316.942215, 854.969024658, 666837.930679
11775.970459, 16559.8392487, 682662.010193
12337.2077942, 851.86958313, 660423.04039
11440.9923553, 854.969024658, 613939.04686
12629.032135, 2047.06192017, 637722.015381
12681.9610596, 855.922698975, 604693.174362
11922.121048, 928.87878418, 668967.008591
12192.0108795, 827.789306641, 683705.091476
12001.991272, 1393.07975769, 578835.010529
12354.850769, 857.11479187, 595072.984695
12531.9957733, 1847.98240662, 667852.878571
12052.0591736, 858.783721924, 663066.148758
13795.1374054, 838.994979858, 650545.120239
13265.1329041, 1326.7993927, 678280.115128
12508.8691711, 853.061676025, 698351.860046
11476.0398865, 1312.0174408, 790776.014328
11574.0299225, 1903.05709839, 677954.912186
12840.0325775, 2077.81791687, 574182.987213
12270.2121735, 1376.86729431, 623435.020447
12500.0476837, 852.108001709, 672785.997391
11050.9395599, 858.068466187, 610760.9272
12910.1276398, 836.133956909, 664510.011673
12588.0241394, 1936.91253662, 627501.010895
12343.8835144, 899.076461792, 689679.861069
12634.0389252, 1368.9994812, 634624.958038
12094.0208435, 1040.93551636, 616112.947464
12229.9194336, 1339.19715881, 502606.868744
13111.114502, 1081.94351196, 618947.982788
13420.1049805, 4997.96867371, 556336.87973
13304.9488068, 859.022140503, 600775.003433
11324.1672516, 1406.90803528, 532720.088959
13159.9903107, 844.00177002, 712172.031403
11708.9748383, 1095.05653381, 742186.069489
13491.8689728, 876.903533936, 618726.015091
13170.9575653, 1314.87846375, 516474.00856
12123.8231659, 1163.00582886, 572708.845139
12142.8966522, 1319.88525391, 659329.891205
12912.0349884, 2141.95251465, 639924.049377
11616.9452667, 2506.97135925, 577419.996262
12180.8052063, 1446.96235657, 614957.094193
12006.0443878, 1321.0773468, 662528.991699
15189.8860931, 886.917114258, 656835.079193
11570.930481, 876.903533936, 633014.917374
----------------

mode: serial False, gpu True
GPU use = True
transTime, feedNetTime, netTime
16701.9367218, 12389.8983002, 562196.969986
15048.0270386, 1135.1108551, 651664.018631
12192.9645538, 1294.8513031, 511015.176773
14064.0735626, 1076.9367218, 631334.066391
14714.9562836, 1575.94680786, 587466.955185
16438.9610291, 922.918319702, 663383.00705
29966.8312073, 1122.95150757, 691215.991974
28834.8197937, 1389.02664185, 653401.851654
13561.0103607, 1116.03736877, 650902.986526
13393.163681, 1074.79095459, 665573.120117
12912.0349884, 910.997390747, 579860.925674
16045.0935364, 1201.86805725, 703914.165497
13674.0207672, 939.846038818, 681482.076645
13132.8105927, 1470.08895874, 686686.038971
13186.9316101, 1224.04098511, 638841.152191
13566.0171509, 1140.11764526, 673316.955566
13124.9427795, 1072.88360596, 571458.101273
13438.9400482, 1217.84210205, 679626.226425
13500.9288788, 955.820083618, 642515.182495
12428.9989471, 1133.91876221, 654328.107834
13005.0182343, 1070.02258301, 675532.102585
13873.1002808, 1175.88043213, 591784.000397
30482.0537567, 1044.03495789, 645277.023315
26875.9727478, 2830.98220825, 589070.081711
13755.0830841, 3201.96151733, 643754.005432
23236.989975, 9937.04795837, 666621.923447
12957.8113556, 4067.89779663, 631122.112274
13666.8682098, 14905.9295654, 577527.999878
13493.0610657, 5777.83584595, 587328.195572
13800.8594513, 4889.01138306, 571216.106415
13168.0965424, 1377.10571289, 624978.065491
13640.8805847, 12332.9162598, 596538.066864
13628.0059814, 2454.99610901, 602597.951889
13635.8737946, 4528.0456543, 599431.991577
14169.9314117, 1325.84571838, 604124.069214
12835.9794617, 5065.91796875, 610411.167145
13822.0787048, 2066.85066223, 718372.106552
14025.92659, 9606.83822632, 575958.013535
14585.018158, 2105.9513092, 568171.024323
13397.9320526, 4583.12034607, 564497.947693
14271.0208893, 1336.09771729, 674610.853195
14603.13797, 1003.9806366, 647059.91745
14524.936676, 2110.00442505, 600632.190704
12717.0085907, 2505.06401062, 681366.920471
14908.0753326, 5403.0418396, 542130.947113
13918.8766479, 2032.995224, 610589.981079
14611.0057831, 921.010971069, 651504.039764
