mode: serial True, gpu False
GPU use = False
transTime, feedNetTime, netTime
11932.1346283, 3420.11451721, 1209888.93509
12197.0176697, 813.007354736, 1106088.16147
10836.1244202, 755.071640015, 1104645.96748
11957.1685791, 794.172286987, 1105861.90224
11076.9271851, 791.072845459, 1100000.85831
11828.8993835, 775.098800659, 1088600.87395
12106.8954468, 785.112380981, 1086482.04803
12305.9749603, 792.980194092, 1088100.91019
10933.8760376, 776.052474976, 1086148.97728
12097.120285, 810.146331787, 1089351.89247
11507.0343018, 822.067260742, 1094347.9538
12026.0715485, 800.132751465, 1117398.02361
11441.9460297, 780.820846558, 1101405.14374
12204.8854828, 806.80847168, 1106366.15753
12204.8854828, 779.151916504, 1103824.8539
12157.9170227, 802.993774414, 1112236.97662
10924.1008759, 777.006149292, 1103863.00087
12081.861496, 723.123550415, 1105714.08272
10727.8823853, 774.145126343, 1109102.9644
12047.0523834, 775.098800659, 1093715.90614
11496.0670471, 864.028930664, 1086076.97487
12413.9785767, 780.10559082, 1088126.89781
10898.1132507, 768.899917603, 1087574.00513
12037.0388031, 800.132751465, 1087841.03394
11126.0414124, 781.059265137, 1086625.09918
12294.0540314, 771.999359131, 1091042.99545
11240.0054932, 888.109207153, 1086318.96973
12179.851532, 802.993774414, 1088711.02333
11287.9276276, 713.109970093, 1086339.95056
12073.0400085, 796.07963562, 1087822.91412
11404.9911499, 786.066055298, 1086630.82123
12204.8854828, 790.83442688, 1088874.10164
11389.0171051, 778.198242188, 1086706.87675
12116.9090271, 800.132751465, 1087656.02112
11774.0631104, 782.96661377, 1086379.05121
12250.9002686, 708.818435669, 1088210.1059
11617.898941, 790.83442688, 1086897.13478
12644.0525055, 802.040100098, 1088222.02682
11326.0746002, 802.040100098, 1127857.92351
12589.931488, 785.112380981, 1098671.91315
11696.8154907, 774.86038208, 1087203.97949
12238.0256653, 768.184661865, 1088588.95302
11513.9484406, 781.059265137, 1091874.83788
12356.9965363, 796.07963562, 1089339.01787
11479.139328, 807.046890259, 1087117.91039
11739.9692535, 771.999359131, 1088494.06242
11038.0649567, 814.199447632, 1086979.86603
12580.871582, 795.125961304, 1087817.90733
11542.0818329, 727.891921997, 1087585.92606
11931.180954, 801.086425781, 1088918.92433
11785.030365, 817.060470581, 1086976.05133
12472.8679657, 776.052474976, 1088241.10031
11749.9828339, 773.906707764, 1088894.1288
12540.8172607, 776.052474976, 1088198.90022
11576.1756897, 800.132751465, 1088022.94731
12526.9889832, 787.973403931, 1087975.97885
11126.0414124, 772.953033447, 1087597.13173
12383.9378357, 774.145126343, 1087652.92168
10968.208313, 778.913497925, 1087675.0946
12471.9142914, 790.119171143, 1087958.81271
11344.909668, 784.158706665, 1087611.91368
12516.9754028, 792.980194092, 1088289.02245
11754.0359497, 782.96661377, 1087102.17476
12495.0408936, 797.986984253, 1089063.88283
11134.8628998, 909.805297852, 1086753.12996
12411.1175537, 801.086425781, 1088576.07841
11227.1308899, 710.964202881, 1086915.96985
12482.881546, 802.040100098, 1104797.84012
11078.119278, 761.032104492, 1087357.04422
12171.0300446, 781.059265137, 1088861.94229
11360.168457, 779.867172241, 1086975.09766
12204.1702271, 808.954238892, 1087826.96724
11739.9692535, 788.927078247, 1088371.03844
11794.8055267, 910.043716431, 1092741.01257
11594.0570831, 923.156738281, 1087256.90842
12168.8842773, 814.199447632, 1087603.80745
11070.0130463, 787.019729614, 1088318.10951
12356.9965363, 771.999359131, 1088273.0484
10955.0952911, 806.093215942, 1087362.05101
11715.8889771, 803.94744873, 1088115.93056
11064.0525818, 836.849212646, 1087500.09537
12485.0273132, 774.145126343, 1089313.03024
11488.9144897, 833.034515381, 1087445.02068
11760.9500885, 791.788101196, 1088507.17545
11423.8262177, 767.946243286, 1087146.99745
12263.0596161, 769.138336182, 1088280.91621
10977.0298004, 841.14074707, 1087486.98235
11887.0735168, 776.767730713, 1088888.16833
11502.0275116, 837.087631226, 1087824.10622
11785.9840393, 801.086425781, 1088286.87668
11291.9807434, 869.989395142, 1088538.88512
12203.9318085, 797.033309937, 1088825.94109
11079.0729523, 874.996185303, 1088122.12944
12190.1035309, 803.94744873, 1088437.08038
11403.0838013, 890.016555786, 1088459.01489
12422.0848083, 734.806060791, 1087793.1118
11755.9432983, 879.049301147, 1087826.01357
11915.9221649, 799.894332886, 1088319.06319
11401.1764526, 885.963439941, 1088178.15781
11793.8518524, 797.986984253, 1089534.99794
11006.8321228, 893.831253052, 1087121.9635
12097.8355408, 926.971435547, 1088676.92947
11764.04953, 809.907913208, 1087059.97467
11744.0223694, 895.023345947, 1089378.11852
11839.8666382, 887.870788574, 1087682.96242
12173.8910675, 782.012939453, 1089285.85052
11473.1788635, 870.943069458, 1087177.99187
11643.8865662, 789.880752563, 1088593.95981
10993.0038452, 869.989395142, 1088092.80396
11929.0351868, 773.191452026, 1088473.79684
11461.9731903, 872.135162354, 1087132.93076
11679.8877716, 805.854797363, 1087716.1026
11141.0617828, 844.955444336, 1088084.93614
11544.9428558, 744.104385376, 1088660.00175
11044.9790955, 857.11479187, 1089344.02466
11639.1181946, 813.007354736, 1102693.0809
11358.9763641, 809.907913208, 1087555.17006
11375.9040833, 802.040100098, 1088053.94173
11380.9108734, 809.907913208, 1102919.10172
11486.0534668, 811.100006104, 1088410.85434
11967.1821594, 794.887542725, 1086981.05812
12042.0455933, 811.100006104, 1105694.05556
11076.9271851, 797.986984253, 1087423.08617
11373.0430603, 809.192657471, 1087710.85739
12233.0188751, 806.093215942, 1087980.98564
11620.0447083, 819.92149353, 1087890.14816
11439.0850067, 821.113586426, 1088423.96736
11382.1029663, 807.046890259, 1087527.99034
11109.1136932, 803.94744873, 1088473.08159
11520.8625793, 777.006149292, 1087363.00468
11359.9300385, 826.835632324, 1088375.09155
11283.8745117, 725.030899048, 1087209.93996
12256.860733, 857.11479187, 1088185.07195
11347.0554352, 817.060470581, 1087682.00874
11025.9056091, 845.909118652, 1087564.94522
11403.0838013, 781.059265137, 1088229.89464
11370.1820374, 838.994979858, 1087225.914
11476.9935608, 795.841217041, 1087652.20642
11074.0661621, 862.836837769, 1087540.14969
11438.1313324, 786.066055298, 1088356.97174
11327.0282745, 884.056091309, 1088126.89781
11427.8793335, 797.986984253, 1087093.11485
12114.0480042, 842.094421387, 1087914.9437
12300.9681702, 794.172286987, 1087659.83582
11228.0845642, 857.11479187, 1089068.88962
11394.9775696, 771.999359131, 1088088.03558
12269.0200806, 874.996185303, 1088224.88785
12270.9274292, 812.05368042, 1087460.04105
12288.8088226, 895.023345947, 1088829.04053
11475.0862122, 730.037689209, 1088583.94623
12025.8331299, 881.910324097, 1088465.92903
11719.9420929, 831.127166748, 1087903.02277
11050.9395599, 850.200653076, 1087651.968
11626.0051727, 792.026519775, 1088927.03056
11656.999588, 829.935073853, 1088720.08324
11582.8514099, 782.012939453, 1087916.85104
11503.9348602, 839.948654175, 1088118.07632
11652.9464722, 804.901123047, 1088217.02003
11349.9164581, 864.98260498, 1088685.98938
11660.0990295, 813.007354736, 1087815.04631
11376.8577576, 853.061676025, 1088778.97263
11610.0311279, 802.993774414, 1087211.84731
11066.9136047, 857.830047607, 1088732.95784
11585.9508514, 811.100006104, 1087852.95486
11376.8577576, 858.068466187, 1089864.01558
11698.0075836, 783.920288086, 1088379.14467
11472.2251892, 841.14074707, 1089657.78351
11722.0878601, 725.984573364, 1088405.84755
11646.9860077, 869.035720825, 1087630.98717
11732.8166962, 806.093215942, 1088006.01959
11394.9775696, 853.061676025, 1100849.86687
11708.9748383, 778.198242188, 1090679.88396
11470.079422, 855.922698975, 1088587.04567
11728.0483246, 813.007354736, 1087833.16612
11046.1711884, 833.988189697, 1087597.13173
11691.8087006, 808.000564575, 1088923.93112
11240.9591675, 851.86958313, 1088858.12759
11682.0335388, 818.967819214, 1087880.13458
11694.9081421, 839.948654175, 1087518.93044
11598.110199, 788.927078247, 1088249.9218
11494.1596985, 845.909118652, 1167348.14644
12097.8355408, 787.019729614, 1232650.04158
10751.0089874, 763.177871704, 1191481.82869
11665.8210754, 767.946243286, 1087100.98267
11448.8601685, 775.098800659, 1086057.90138
11161.0889435, 752.925872803, 1084295.03441
12013.9122009, 782.96661377, 1084123.84987
12172.9373932, 771.045684814, 1107995.03326
11798.1433868, 802.993774414, 1180994.03381
11456.9664001, 813.007354736, 1095757.96127
11125.087738, 808.000564575, 1091052.05536
11492.9676056, 788.927078247, 1090456.00891
11443.1381226, 828.02772522, 1090234.04121
11397.1233368, 776.052474976, 1151461.12442
13322.8302002, 899.076461792, 1160730.83878
11715.8889771, 782.012939453, 1087954.04434
11789.7987366, 782.96661377, 1088504.076
11747.8370667, 773.906707764, 1088495.0161
11682.9872131, 764.846801758, 1088793.03932
12547.9698181, 792.026519775, 1088941.09726
11654.8538208, 797.033309937, 1088229.17938
11717.0810699, 710.964202881, 1089025.0206
11691.0934448, 900.983810425, 1089267.96913
11725.9025574, 799.894332886, 1206532.95517
13262.9871368, 790.119171143, 1118988.99078
13666.8682098, 890.016555786, 1104430.91393
12697.9351044, 848.054885864, 1192001.10435
15768.0511475, 7496.11854553, 1113019.94324
11826.9920349, 771.045684814, 1088238.00087
12068.0332184, 790.83442688, 1089118.00385
12439.0125275, 767.946243286, 1101619.0052
12405.1570892, 717.878341675, 1097964.04839
12547.9698181, 776.052474976, 1104966.87889
12376.7852783, 769.138336182, 1106462.0018
11778.1162262, 776.052474976, 1109215.97481
12094.9745178, 778.913497925, 1107034.20639
12262.1059418, 782.012939453, 1106549.02458
12156.0096741, 797.986984253, 1105915.06958
11619.0910339, 775.098800659, 1105963.94539
12160.0627899, 777.006149292, 1098720.0737
11890.8882141, 790.119171143, 1090227.84233
11797.9049683, 765.800476074, 1089568.13812
12800.9319305, 777.959823608, 1108155.01213
11803.150177, 774.86038208, 1089231.96793
12442.111969, 775.814056396, 1088540.07721
11902.0938873, 792.026519775, 1091562.98637
11831.0451508, 779.151916504, 1105043.88809
12169.1226959, 789.165496826, 1088883.8768
11805.0575256, 776.052474976, 1088983.05893
12131.9293976, 730.037689209, 1089619.87495
12214.8990631, 784.158706665, 1088227.98729
11900.9017944, 766.038894653, 1091636.89613
11643.8865662, 756.025314331, 1104886.05499
11754.0359497, 795.125961304, 1089535.95161
12200.1171112, 786.066055298, 1089097.02301
12106.180191, 782.96661377, 1088990.21149
12187.0040894, 774.86038208, 1088747.97821
12625.2174377, 762.939453125, 1088613.03329
12077.0931244, 790.119171143, 1091074.94354
12139.081955, 778.913497925, 1089452.98195
12320.9953308, 772.953033447, 1088407.99332
11625.0514984, 789.880752563, 1089438.91525
12826.2042999, 782.96661377, 1089189.05258
11746.8833923, 791.072845459, 1088678.83682
12552.9766083, 777.006149292, 1088452.10075
11907.8159332, 787.019729614, 1088955.87921
11847.0191956, 773.906707764, 1089467.04865
11912.8227234, 690.937042236, 1090296.98372
12060.880661, 893.831253052, 1088984.0126
12254.9533844, 768.899917603, 1089976.07231
12786.8652344, 780.10559082, 1088670.01534
11918.7831879, 782.012939453, 1089272.97592
11914.9684906, 769.853591919, 1088639.02092
12248.9929199, 792.026519775, 1089466.09497
12188.1961823, 775.098800659, 1088675.9758
12346.9829559, 907.897949219, 1088922.02377
12403.011322, 803.94744873, 1089441.06102
12786.8652344, 771.999359131, 1089355.94559
12785.9115601, 874.042510986, 1088544.84558
12174.8447418, 781.059265137, 1089005.94711
12136.9361877, 802.040100098, 1089123.01064
11999.8455048, 794.887542725, 1088726.0437
12823.8201141, 784.873962402, 1090036.15379
11919.9752808, 868.082046509, 1089116.0965
11790.0371552, 793.933868408, 1088988.06572
11783.1230164, 705.95741272, 1089123.96431
11795.9976196, 798.940658569, 1088897.9435
12154.1023254, 759.840011597, 1089155.19714
12821.9127655, 765.085220337, 1088783.02574
11902.0938873, 789.165496826, 1089076.04218
11702.0606995, 787.019729614, 1088910.10284
11801.9580841, 787.019729614, 1088995.93353
11811.0179901, 864.028930664, 1089173.07854
12110.9485626, 787.973403931, 1102867.12646
12888.9083862, 828.02772522, 1090343.95218
12158.1554413, 773.906707764, 1089192.15202
12888.1931305, 787.973403931, 1088413.95378
11818.8858032, 854.969024658, 1088889.12201
12984.0373993, 791.072845459, 1089688.06267
12132.1678162, 781.059265137, 1089107.99026
12480.9741974, 778.913497925, 1088918.92433
11906.1470032, 782.96661377, 1089135.16998
12109.041214, 765.085220337, 1088951.11084
11834.1445923, 687.837600708, 1089552.16408
12807.1308136, 799.179077148, 1089087.9631
12496.9482422, 764.131546021, 1088310.95695
12679.1000366, 794.887542725, 1088664.05487
12159.1091156, 761.985778809, 1090098.85788
11873.0068207, 900.983810425, 1088562.01172
11965.9900665, 782.012939453, 1088875.05531
12772.0832825, 768.899917603, 1089075.0885
11944.0555573, 774.86038208, 1088922.02377
11936.1877441, 771.045684814, 1089821.81549
12623.0716705, 790.83442688, 1089010.00023
11819.1242218, 691.890716553, 1089202.1656
11692.0471191, 785.112380981, 1088980.91316
11804.8191071, 793.218612671, 1089327.81219
11567.1157837, 771.045684814, 1089758.87299
12279.9873352, 784.873962402, 1088835.00099
12719.8696136, 779.151916504, 1089620.82863
11969.0895081, 794.887542725, 1089432.95479
11911.8690491, 729.084014893, 1090188.02643
11917.8295135, 792.026519775, 1088603.97339
11577.129364, 802.040100098, 1089437.0079
12085.9146118, 910.997390747, 1088903.90396
12667.8943634, 756.978988647, 1089753.15094
12124.7768402, 792.026519775, 1088840.00778
12577.0568848, 923.871994019, 1089092.96989
12135.9825134, 796.794891357, 1088572.0253
12545.1087952, 774.86038208, 1088901.04294
11737.1082306, 799.894332886, 1088975.19112
11385.9176636, 798.940658569, 1089617.01393
12211.0843658, 707.149505615, 1088853.83606
11505.1269531, 782.012939453, 1089493.03627
12202.9781342, 792.026519775, 1089171.88644
11520.8625793, 793.933868408, 1090204.00047
12320.9953308, 776.052474976, 1089092.96989
11693.0007935, 799.894332886, 1195264.10103
12982.8453064, 790.119171143, 1135421.03767
12778.0437469, 800.132751465, 1090482.95021
11629.81987, 785.112380981, 1089134.93156
12484.0736389, 807.046890259, 1089534.99794
12866.973877, 943.183898926, 1088872.90955
11654.1385651, 797.986984253, 1089660.88295
12686.9678497, 796.07963562, 1088720.08324
12644.0525055, 799.179077148, 1108864.78424
11854.8870087, 787.973403931, 1090054.03519
11720.8957672, 809.907913208, 1089236.02104
12883.9015961, 796.07963562, 1089606.04668
12646.9135284, 808.000564575, 1089234.82895
13008.8329315, 698.804855347, 1088882.20787
11618.8526154, 799.894332886, 1089005.94711
12842.8936005, 771.999359131, 1090068.10188
11685.8482361, 797.986984253, 1089285.13527
12938.9762878, 770.092010498, 1090019.94133
12686.9678497, 778.198242188, 1089445.82939
12506.9618225, 796.07963562, 1091322.89886
12307.882309, 797.986984253, 1106595.03937
11843.2044983, 788.927078247, 1089342.11731
11972.9042053, 816.106796265, 1089452.02827
12552.022934, 797.986984253, 1088843.10722
11628.8661957, 801.086425781, 1090094.08951
12079.000473, 785.112380981, 1090579.98657
11767.8642273, 850.200653076, 1104305.98259
12240.1714325, 761.985778809, 1089219.09332
12449.9797821, 823.020935059, 1089010.9539
12800.9319305, 800.132751465, 1089478.96957
12570.142746, 795.841217041, 1087128.16238
12532.2341919, 740.051269531, 1089680.91011
11710.1669312, 823.020935059, 1087970.97206
12382.0304871, 861.167907715, 1090240.00168
11700.8686066, 812.05368042, 1087579.96559
12413.0249023, 788.927078247, 1089566.94603
11744.9760437, 926.971435547, 1087435.0071
12475.0137329, 796.07963562, 1088848.82927
11737.1082306, 810.146331787, 1088018.8942
12460.231781, 931.024551392, 1088988.06572
11218.7862396, 814.914703369, 1087717.05627
11704.9217224, 791.072845459, 1089047.90878
11802.9117584, 817.060470581, 1087617.87415
11879.9209595, 805.854797363, 1089908.12302
11798.8586426, 824.928283691, 1086595.05844
11837.9592896, 789.880752563, 1088762.99858
11734.0087891, 825.166702271, 1088001.96648
11574.0299225, 812.05368042, 1090662.00256
11785.9840393, 813.007354736, 1087837.93449
12583.0173492, 723.123550415, 1089548.82622
11788.1298065, 821.113586426, 1087553.02429
12496.9482422, 803.94744873, 1090744.01855
12529.8500061, 816.106796265, 1087488.88969
12479.0668488, 792.980194092, 1089636.08742
11766.910553, 898.838043213, 1087411.16524
12501.9550323, 812.05368042, 1088842.8688
11834.859848, 821.828842163, 1088243.00766
12514.1143799, 792.980194092, 1089067.93594
11530.8761597, 816.822052002, 1087378.97873
11863.9469147, 807.046890259, 1089212.89444
11903.0475616, 813.007354736, 1089333.0574
12618.0648804, 802.040100098, 1090208.05359
11776.2088776, 818.967819214, 1088240.14664
12416.1243439, 789.880752563, 1088776.1116
