mode: serial False, gpu True
GPU use = True
transTime, feedNetTime, netTime, thread#1, thread#2
28928.9951324, 8032.08351135, 684381.008148, 209137.916565, 692413.09166
14406.9194794, 939.130783081, 607774.019241, 88866.9490814, 608713.150024
17637.9680634, 1078.84407043, 561110.019684, 79005.0029755, 562188.863754
14704.9427032, 1420.02105713, 658550.977707, 73338.0317688, 659970.998764
13206.9587708, 1049.04174805, 629393.100739, 71511.0301971, 630442.142487
13948.9173889, 1536.13090515, 655378.818512, 63770.0557709, 656914.949417
18301.9638062, 1021.86203003, 636419.057846, 75784.9216461, 637440.919876
12035.1314545, 1055.95588684, 596690.893173, 75297.1172333, 597746.84906
15846.9676971, 1307.01065063, 593775.987625, 69195.9857941, 595082.998276
14952.1827698, 921.964645386, 424892.902374, 73390.9606934, 425814.86702
----------------

